"","group","mean","lq","hq"
"1","Aridlands",37.0130953279387,36.1311791072276,37.9032235426937
"2","Forest",36.9928951019465,36.3941799557863,37.5759870655682
"3","Grasslands",36.9998039271701,36.4853018212661,37.517067810042
"4","Habitat Generalist",36.9718433267722,35.573362429972,38.3554986223693
"5","Tipping Point",36.5666050603866,32.3471794449072,38.385910756646
"6","Water/wetland",36.4391047124105,31.9428965285904,38.3992956924017
