species,avg,stdev,lower95,upper95
abetow,0.37068002805702416,0.0089428113183041991,0.35315211787314793,0.3882079382409004
acafly,0.3700332952231308,0.0013757366828099514,0.3673368513248233,0.37272973912143825
acowoo,0.3701119710450579,0.004279254552535492,0.36172463212208833,0.37849930996802744
aldfly,0.3699524994810691,0.0010510443486615826,0.36789245255769243,0.3720125464044458
allhum,0.37001224847409314,0.010896976045071541,0.34865417542575294,0.39137032152243334
ambduc,0.3669650708134103,0.009098290375715015,0.34913242167700886,0.3847977199498117
ameavo,0.37011614403622445,0.014557918301518556,0.3415826241652481,0.3986496639072008
amebit,0.36988297780332985,0.0016525952090279527,0.36664389119363505,0.37312206441302465
amecro,0.36972059392020046,0.0010763260296809225,0.36761099490202587,0.37183019293837505
amedip,0.3699445564756035,0.0036072492480471387,0.3628743479494311,0.3770147650017759
amegfi,0.3699409485173429,4.8771190029869323e-4,0.36898503319275744,0.3708968638419283
amekes,0.36996371985969234,5.269913393535281e-4,0.3689308168345594,0.37099662288482527
amepip,0.3696817784324991,9.104020680654894e-4,0.36789739037909075,0.37146616648590747
amered,0.369919907062103,8.015176206233601e-4,0.3683489325256812,0.3714908815985248
amerob,0.369894662542767,0.001465657038973365,0.3670219747463792,0.37276735033915476
amewig,0.3699384651158485,0.0036558362407286297,0.3627730260840204,0.3771039041476766
amewoo,0.369990428010189,0.0010696242894974554,0.367893964402774,0.372086891617604
amgplo,0.36998854397816444,0.004072256320758874,0.36200692158947706,0.3779701663668518
amtspa,0.36993331434357996,8.368137750429627e-4,0.36829315934449575,0.37157346934266416
amwpel,0.36891903463919284,0.005582383834866872,0.35797756232285377,0.3798605069555319
anhing,0.36986349570681987,0.0036652886640793714,0.3626795299252243,0.37704746148841545
annhum,0.3700003836535621,0.0028282798175769865,0.3644569552111112,0.37554381209601295
arcter,0.35590447583040297,0.0026765420774870693,0.3506584533585283,0.36115049830227763
arcwar1,0.36854341153440123,0.0022244572362783437,0.3641834753512957,0.3729033477175068
astfly,0.3700527058207593,0.0011237588024917767,0.3678501385678754,0.37225527307364314
attwoo1,0.37006709742766924,0.0022526408308001285,0.36565192139930097,0.3744822734560375
babwar,0.369947310392102,0.001193663188366372,0.3676077305429039,0.3722868902413001
bacspa,0.36991181926584654,0.006767988088396009,0.35664656261259037,0.3831770759191027
baisan,0.36998618395511257,0.0020612480265168607,0.3659461378231395,0.37402623008708563
baispa,0.37011860885217984,0.0030188028786920307,0.36420175520994347,0.3760354624944162
baleag,0.3662846476027084,0.0014183421302029833,0.36350469702751054,0.36906459817790627
balori,0.36997879222909374,9.239853473253432e-4,0.3681677809483361,0.3717898035098514
banswa,0.36964694284831584,0.003560609226373745,0.3626681487646233,0.3766257369320084
bargol,0.3623226429578461,0.005026288104006068,0.35247111827399424,0.372174167641698
barswa,0.370010326193668,0.005465163287170844,0.35929860615081316,0.3807220462365229
batpig1,0.37011681321791945,0.003325254524928428,0.36359931434905973,0.37663431208677917
bawwar,0.36992974027303704,9.311225964408974e-4,0.3681047399840129,0.3717547405620612
bcnher,0.36917691629811944,0.0028465966018829704,0.3635975869584288,0.37475624563781007
belkin1,0.369641582619492,6.234927545587344e-4,0.36841953682055684,0.3708636284184271
belspa2,0.3701189925440553,0.004837775271151893,0.36063695301259757,0.379601032075513
