species_code,common_name,scientific_name,avg,stdev,lower95,upper95,habitat,tipping_pt,sum_cna,over_upper95,under_lower95
bkchum,Black-chinned Hummingbird,Archilochus alexandri,0.3700658665078735,0.00167000096495475,0.3667926646165622,0.3733390683991848,Forest,NA,0.4497976630916538,1,0
rthhum,Ruby-throated Hummingbird,Archilochus colubris,0.3700006279127136,8.439857797513408e-4,0.36834641578440097,0.3716548400410262,Forest,NA,0.6642010133530424,1,0
greegr,Great Egret,Ardea alba,0.36914240936341225,0.00248315737391044,0.36427542091054776,0.37400939781627673,Water/wetland,NA,0.3625012822003235,0,1
grbher3,Great Blue Heron,Ardea herodias,0.3693601548510832,8.99320407479504e-4,0.3675974868524234,0.371122822849743,Water/wetland,NA,0.41393907144271225,1,0
rudtur,Ruddy Turnstone,Arenaria interpres,0.350896476974217,0.01149820814869596,0.3283599890027729,0.3734329649456611,Water/wetland,Tipping Point,0.29050892932539885,0,1
olispa,Olive Sparrow,Arremonops rufivirgatus,0.3702011603941885,0.00515045143821545,0.3601062755752862,0.3802960452130908,Aridlands,NA,0.3605918688053862,0,0
belspa2,Bell's Sparrow,Artemisiospiza belli,0.3701189925440553,0.00483777527115189,0.3606369530125976,0.379601032075513,Aridlands,NA,0.1865308484564352,0,1
sagspa1,Sagebrush Sparrow,Artemisiospiza nevadensis,0.3700153446482467,0.00181896052283294,0.36645018202349416,0.37358050727299935,Aridlands,NA,0.1173139229549458,0,1
sheowl,Short-eared Owl,Asio flammeus,0.3696680644804287,0.00126103526028207,0.36719643537027585,0.3721396935905816,Habitat Generalist,NA,0.2318220632739571,0,1
loeowl,Long-eared Owl,Asio otus,0.3700523665801804,0.00183005253256195,0.366465463616359,0.37363926954400184,Forest,NA,0.21581054162348767,0,1
burowl,Burrowing Owl,Athene cunicularia,0.3701113012318681,0.00179488162484887,0.3665933332471643,0.37362926921657186,Grasslands,NA,0.39729027224264546,1,0
verdin,Verdin,Auriparus flaviceps,0.370271948487657,0.00264696759691952,0.3650838919976947,0.3754600049776193,Aridlands,NA,0.2912770331889134,0,1
lessca,Lesser Scaup,Aythya affinis,0.3680105734239857,0.00556092120885843,0.35711116785462316,0.3789099789933482,Water/wetland,NA,0.35672767760649443,0,1
redhea,Redhead,Aythya americana,0.3654235260310515,0.00810402740842606,0.3495396323105364,0.38130741975156657,Water/wetland,NA,0.474136514806038,1,0
rinduc,Ring-necked Duck,Aythya collaris,0.3699462331432839,0.00221792729990017,0.36559909563547954,0.37429337065108825,Water/wetland,NA,0.35182093320282803,0,1
