species_code,sum
amecro,0.542905795306126
amekes,0.37414138194430313
banswa,0.26387287821894523
barswa,0.3268307748609973
bkbmag1,0.5027895987919005
blkvul,0.5660240565952767
bnhcow,0.3171048190760515
brebla,0.2763965402773739
brnowl,0.19130494323160363
buggna,0.5667610904783649
cliswa,0.3346039148897424
comgra,0.37931909308354433
comnig,0.553378120007758
comrav,0.34597295365731146
comyel,0.4979286801710603
fiscro,0.563529392235985
goleag,0.29482801971373884
grbani,0.05506980705109754
grhowl,0.38720575831284343
grtgra,0.10550785308322697
houfin,0.13714916148335682
killde,0.2580329564931354
merlin,0.28251901035997395
moudov,0.36305208778200004
norhar2,0.2914405515273919
normoc,0.3171266488550655
nrwswa,0.39047306038239793
perfal,0.26729989845380353
purmar,0.38888222576806986
rethaw,0.398653296469492
rewbla,0.3114297567714941
saypho,0.22608685065293166
sheowl,0.25786626580163635
sonspa,0.5059695710335688
treswa,0.42146767337698776
turvul,0.4580209170742737
whcspa,0.2691478656515074
whtkit,0.18099556823612772
