species,iteration1,iteration2,iteration3,iteration4,iteration5,iteration6,iteration7,iteration8,iteration9,iteration10,iteration11,iteration12,iteration13,iteration14,iteration15,iteration16,iteration17,iteration18,iteration19,iteration20,iteration21,iteration22,iteration23,iteration24,iteration25,iteration26,iteration27,iteration28,iteration29,iteration30,iteration31,iteration32,iteration33,iteration34,iteration35,iteration36,iteration37,iteration38,iteration39,iteration40,iteration41,iteration42,iteration43,iteration44,iteration45,iteration46,iteration47,iteration48,iteration49,iteration50,iteration51,iteration52,iteration53,iteration54,iteration55,iteration56,iteration57,iteration58,iteration59,iteration60,iteration61,iteration62,iteration63,iteration64,iteration65,iteration66,iteration67,iteration68,iteration69,iteration70,iteration71,iteration72,iteration73,iteration74,iteration75,iteration76,iteration77,iteration78,iteration79,iteration80,iteration81,iteration82,iteration83,iteration84,iteration85,iteration86,iteration87,iteration88,iteration89,iteration90,iteration91,iteration92,iteration93,iteration94,iteration95,iteration96,iteration97,iteration98,iteration99,iteration100
abetow,0.08840909985156031,0.10475612395384815,0.09925393681623973,0.10276804766908754,0.10487170681153657,0.09908852483931696,0.1045107985046343,0.09943175650550984,0.09972668966656784,0.09680517789092846,0.08949690716690384,0.10366349820105825,0.09158846642822027,0.09666270275920397,0.0953915494173998,0.09972849894256797,0.09781782861682586,0.09644811694306554,0.10990764259622665,0.10160840331809595,0.08908868047001306,0.09851063543464988,0.09459760173194809,0.111990790865093,0.09971373175358167,0.10447268734424142,0.09213704707508441,0.10461056896019727,0.09484116052772151,0.10033190924878,0.0967084200528916,0.10114817992871394,0.10344223994616186,0.10614460196666187,0.0965501395839965,0.10365224081760971,0.09532649812172167,0.09609438940969994,0.10255000681354431,0.09942703708657064,0.10017367504769936,0.09504163078236161,0.09925014051987091,0.09229098229843657,0.10558074016444152,0.10250786921824329,0.09316899115947308,0.10714485712378519,0.10413768878788687,0.09140434447181178,0.10153364590951242,0.09696147367503727,0.0929716709870263,0.09315894118481083,0.08979919192643138,0.10647219160455279,0.10463963228539797,0.09891277308634017,0.10832102964195656,0.10322310388437472,0.10395889251230983,0.09088526657433249,0.09080518066184595,0.09668490103649674,0.09281995614583138,0.09813380091509316,0.09929021088464651,0.0995795061608078,0.097116778590134345,0.10263102444150718,0.09524531620263588,0.08819548196333926,0.10081683774478734,0.11845607982832007,0.10021335136843845,0.09904550451028626,0.09571285804122454,0.09512099240237148,0.09341828095057281,0.0989981562961475,0.1007789501309162,0.1009844530490227,0.09564502674766118,0.10620113220647909,0.10370409453753382,0.09362726977997227,0.0882575838259072,0.09875850490789162,0.1055849666663562,0.09919220418669283,0.10761777364677982,0.10162198784382781,0.10005773467855761,0.09927738335682079,0.10160353460378246,0.08706072364293505,0.09877223875082564,0.10065091704018414,0.10690075401362265,0.10889724825392477
acafly,0.10064699907823993,0.10046110653418694,0.10150149037400347,0.10070362741566186,0.0977785661350783,0.1014494769581713,0.09889980193952042,0.09913419643689103,0.10012878422791083,0.10077251568143453,0.10055193294597586,0.09959478353431983,0.10051364653668138,0.09810487596539552,0.09914298948314837,0.09953693533535812,0.0996942317675642,0.09926038889140543,0.10113940166073654,0.10079033718879415,0.09821588086116151,0.09964355050220064,0.09967640133136513,0.1014853679432619,0.09985384768671857,0.10021146746645826,0.0998638277843682,0.1003432648876128,0.09963149311447372,0.10200497385059748,0.09935295276990885,0.10118489830025723,0.10045108351894427,0.09895739850761665,0.10094730338448654,0.09809525199229086,0.10002843921346027,0.09969990013694208,0.09910849707129543,0.10118404180791662,0.10129962076256405,0.09903323958370969,0.10037752604610972,0.09850150390632662,0.10035705683812246,0.10000234992868284,0.09994858776225968,0.0991678256842583,0.09927118858507811,0.09995796293708237,0.10019043607919187,0.10115810316450968,0.10048797423615063,0.09926503493753813,0.10033492516538622,0.09993888122604133,0.10037545162447437,0.10046177194891825,0.09960600183696755,0.09900679488625741,0.10109335145567222,0.09956981257681186,0.10028514914284159,0.10020006106914892,0.10052755516825584,0.0994732454311027,0.10005290337274175,0.0999254210567937,0.10187204210392053,0.10063238246544337,0.10043418109954061,0.09896491914633287,0.09962547756326146,0.10008377939720425,0.09879138726362413,0.10140748112561582,0.09967562160402466,0.09984995419040743,0.1014231750371124,0.10055225305764814,0.09982485861253565,0.09952842953537555,0.09965378732171004,0.0988866098916592,0.10135098597375958,0.10056612312035496,0.1001668783077001,0.09925303548079611,0.10016692717207398,0.09972116871361081,0.10086133381730633,0.0986765268291836,0.10083228827121005,0.10128994920118473,0.09978344295793562,0.10059728453300565,0.10127838016350843,0.09963868222579997,0.1002083068326769,0.1005702938535542
acowoo,0.09826757281281573,0.10389738956774641,0.1024638009721599,0.1004782035938816,0.09930719493516449,0.1032775684110141,0.10059111489263906,0.09960700562078628,0.10384343914370256,0.10057242613436301,0.09894507339092229,0.10175195585309682,0.0964962987267434,0.09686326249733668,0.10302591819401208,0.09948848356620266,0.09769491466099467,0.09900825696645654,0.10248291472743176,0.0945401679537099,0.1004033369834012,0.10051665307571511,0.09804320320222004,0.09840110993609033,0.09673468708918165,0.09701890619157894,0.10185510981017387,0.0952956247405452,0.09843867649639115,0.10188292775130181,0.10154711422616458,0.10148303223706989,0.09577150477145935,0.10027374703574488,0.09900742944096877,0.0971251160718225,0.10035994494683109,0.09803838649378349,0.09932576282859884,0.1034226738343782,0.09952430484969854,0.10438528113058965,0.09919988839717675,0.10273674808240685,0.09915461537958983,0.0973891195582337,0.10617369542435853,0.09565766198058157,0.10247338623981506,0.0985169610140395,0.09948500294968632,0.09950609842153213,0.10165324433451062,0.10239592398361452,0.09670542041267227,0.09774703074211288,0.0994930776154459,0.10426401856330259,0.10583543609180168,0.10071620328471909,0.0996702874729003,0.09525147481102181,0.0952201379085067,0.09818031008475714,0.0980498224320705,0.10795118694248629,0.0991906727858698,0.10169703323066415,0.09881335472337582,0.09833941825829307,0.10071916694656124,0.09830552695909889,0.09969001342744832,0.09644856143750857,0.10508710570590055,0.09951647072148262,0.10600423376999801,0.09819985444649859,0.09756539148277454,0.10308398805621835,0.1002213876211897,0.10065758318952822,0.09565958414162168,0.09981144684800825,0.09954880846084393,0.1003033084366276,0.10254240072175635,0.10156645298523514,0.0990522770744029,0.09368378221611309,0.10105879624385983,0.09899255451618671,0.09544871614086503,0.09806092879761641,0.09827379049532325,0.10043415772203446,0.09763469976293493,0.09988020780797768,0.09873455786716256,0.09182687860202776
aldfly,0.09953975243078239,0.0992407716746051,0.10055791622237381,0.09932502330848109,0.09987345930795172,0.09999445968942089,0.09979175769522719,0.09888631838856354,0.10151864586133491,0.09954845631781145,0.09974346847880211,0.0999966915913233,0.09835530599034248,0.09969340330236792,0.10052592261465132,0.10043082999771524,0.10075940800259131,0.10063831366483922,0.0999810878754408,0.0999509010702817,0.10016682732316173,0.10022783097869703,0.10042842773312977,0.09961415896150105,0.10120841531053704,0.09955654706353306,0.10066722865151012,0.10076921594841526,0.10080540011011818,0.0989774845456769,0.10035138281754241,0.10078629729221944,0.10002593849077646,0.09960092590795977,0.10093871810813759,0.09878407942879414,0.09892112880085252,0.10079983843875451,0.10094023656829898,0.10013796014185883,0.09888817794269955,0.1007027996348242,0.09962654687299766,0.09972631489702488,0.10027764103711956,0.10039078214654895,0.09906496352373395,0.10027489421488078,0.10091260852895201,0.10028662726566706,0.10087315216143189,0.09975768842543736,0.09850080762405233,0.10027992334409219,0.10064018206634123,0.09875720556937306,0.09920136264644985,0.10028443763116446,0.10215135112554297,0.10014330928123716,0.09975885116598437,0.10095482110486098,0.10031196881458238,0.09849557653435337,0.10097119726360515,0.1009296561386846,0.09876777549148352,0.10094951274688269,0.10062681989023092,0.10025500339691362,0.10061098407734198,0.10038710242690674,0.09920669120687542,0.09838214883399388,0.10100749399922582,0.09844909948724112,0.10012513714558557,0.1002325244145108,0.10060082850891094,0.09858482028736831,0.09991951463830029,0.10048720865332195,0.1022183278911471,0.0993376829607322,0.0988193653803886,0.10080042180328025,0.09836364590343738,0.09895714663090394,0.10114739801405043,0.10067499302750815,0.09930956345515618,0.09970072801822732,0.10073270144022461,0.10118237557499687,0.10008654271550149,0.09934072749830541,0.10080026422214972,0.09981801987843747,0.09804741270672146,0.09982114773978634
allhum,0.09586050536972834,0.09415202794348687,0.101928186836858,0.1060655170992959,0.10100479810785146,0.10226873831470584,0.09603133227460603,0.10560438145034823,0.10054982736085094,0.09774653058223493,0.0933374117592507,0.10471086506822758,0.11080219484239251,0.11758474734426727,0.11348240470283599,0.10027345226899342,0.10906511734088298,0.10969753454571674,0.09328976312315262,0.09330338851543729,0.08859636537999904,0.09580089153592297,0.10703260820878313,0.09539932962297826,0.09793795180871712,0.1074248620350815,0.09274598048205007,0.08909076016016115,0.0996218622572087,0.09618880700599419,0.10011932476709262,0.11033970532821513,0.09801018034420395,0.10020067837660918,0.10970340104233856,0.08286251919776078,0.09418535726013033,0.11033595458229684,0.09950739676662579,0.08734908984092726,0.09907433916191621,0.09782091882721033,0.09234820356589779,0.09154057868317977,0.09589490164785275,0.09185283069018624,0.09688943195055799,0.11511183327354502,0.1037624178045462,0.10334544095883302,0.10459798350836991,0.10009690636491086,0.10770719166839626,0.09609607586423863,0.11072894187975635,0.0964681833618215,0.09864146339873514,0.09561468257413708,0.10001498727979197,0.1075407014037637,0.0947909720541702,0.09771143702801055,0.09300245284157427,0.08789563233295183,0.10530835582216014,0.10473887104012647,0.107615988088412,0.09848244027580222,0.09461881964034546,0.10409081844841239,0.08360211266540318,0.09811053422372851,0.10691244113331777,0.10679933687413268,0.09339442645091367,0.11042244171335369,0.1007927343589472,0.10933519202518482,0.10499833021987115,0.10350285647859891,0.1156643989593249,0.10407396694870386,0.09092764558363342,0.10325941745742284,0.0976549061501828,0.11045519330855313,0.10076887378852462,0.099832506423013,0.10448430831320366,0.10196560360896001,0.10095664111054248,0.10358024574554747,0.08859560999940186,0.09414933274586446,0.09072222681811581,0.10635341905742735,0.10636359562784037,0.10448594094714281,0.09786992467734734,0.10643637972850684
ambduc,0.10039245095557803,0.10689076953468657,0.10352310776031359,0.08407281313147763,0.10055584061464984,0.09466188065533565,0.09537100319947989,0.09249105146680492,0.10689292668578965,0.10898274361499993,0.10381398555228571,0.08875735148381914,0.10338933015412621,0.11102814478272016,0.09570291408979159,0.10380512282179488,0.09751859335001711,0.10113366815846447,0.09561305137875209,0.09308244845016844,0.09873493301220293,0.09633719067220525,0.09512731772982264,0.11236144370010237,0.10274654642289605,0.10414240014341658,0.09864007882093162,0.10466064580361589,0.09702568223251262,0.09560738188745432,0.1083800490594733,0.0975534767897841,0.0868535628917968,0.09770703717091678,0.09815481899906686,0.0967919952933407,0.09502835694295975,0.10702216565982425,0.10558962345010237,0.09148171042344622,0.0869813138016653,0.09899621509667078,0.10167737700897206,0.09625240774741073,0.08849978733655917,0.10317342505626215,0.09862463597790949,0.1040006443947501,0.10184946626553248,0.10137403622698393,0.1015109229278437,0.09825661859808577,0.10526415166659397,0.1023021144061218,0.09743842174636086,0.09602020429047897,0.10564765481753291,0.09674997489398507,0.10734145944885753,0.09335728880688521,0.10512812231810997,0.09564990763618653,0.10787461463274894,0.09696699052133795,0.10225038268263908,0.09390137061661719,0.09318756800426087,0.10491007735519275,0.11186149250263,0.1054652874781965,0.11563589501201577,0.08939788877742316,0.10591258931528635,0.10135068452326834,0.10084601363750423,0.10502921937039389,0.09676014593471471,0.09817911296223869,0.10206384635295151,0.09584306522626918,0.1034147756511512,0.10201055892451727,0.10404905643864737,0.10287968704505701,0.1057161714532171,0.09336089186367147,0.10120736247367468,0.1071110318600823,0.09078578798684234,0.09550990087196354,0.0993864560632538,0.09772713144036693,0.11061703426471858,0.10646524751894049,0.10171302064664722,0.1067346220930645,0.10826331419335133,0.09817439973358155,0.09854825627885688,0.09293420121898066
ameavo,0.11784142125127617,0.10911893011934903,0.09560745918364914,0.09862443109797711,0.10939029914417385,0.09803774000849456,0.09669478417895683,0.11227199841401082,0.08645783839320857,0.10560979212268491,0.08652469513103415,0.0914801323052653,0.09517709078045053,0.09034435026976272,0.09530366381816183,0.10331877526341311,0.10461353401055755,0.1009208690301345,0.10297266473272065,0.0994864056645901,0.10821726998193995,0.0882959999053527,0.09539553107802319,0.09429581725006121,0.11341507469679056,0.09197420741082331,0.1031237004383848,0.09095896298253305,0.10022553345155352,0.0829118168933533,0.09709226857186834,0.09955947805937314,0.10613665561495295,0.09233352008516399,0.09192874243758085,0.11600968592853474,0.09796555860503409,0.10879166741055482,0.09974035590198717,0.0984286410186789,0.08672427188055665,0.10589130446565267,0.1110897237106554,0.09755110573242781,0.10885247039174983,0.09570829385957143,0.09702504337157296,0.09755357604543236,0.1059315556253907,0.102771060027196,0.10173728898579767,0.1069954581490221,0.10900091524133948,0.08781521144742534,0.09666521221495607,0.08749867057197967,0.09162311843451382,0.09046925004895169,0.10326368014559803,0.11520915244397008,0.09793991785821671,0.10347082876448123,0.0858321640020025,0.10008202177784913,0.11284993933800468,0.11183625553762333,0.09770829050494166,0.10786005594032233,0.09850286808647692,0.10060562472572128,0.091682863827292585,0.1088502782272185,0.09030402108245365,0.1053367930452296,0.11150828805532734,0.09156898942187244,0.10115987603599703,0.0886530032518548,0.09530653853129732,0.11293309246154243,0.09539850502082739,0.10054382462670401,0.11703696882911306,0.12470284481042561,0.09189455469808738,0.09598940226429759,0.10736808137385567,0.09120888554648976,0.09913474417046302,0.10654357400874365,0.09197282474729118,0.10132737346178364,0.09747430882433983,0.12887960758337214,0.09658301178309765,0.07947618674602536,0.09138778893791832,0.10009691146095158,0.11285727837829496,0.10768983942964729
amebit,0.098695792349570155,0.09859060373230433,0.10073253137530624,0.10023376319908395,0.10004191217490277,0.10032416617725815,0.09848358445114558,0.09916591976607203,0.10038877716224781,0.09975806153995714,0.1011087048409487,0.10087890191968707,0.09859995037487512,0.09999076591636014,0.1006317327475107,0.09987005811257554,0.09982590210148068,0.10107483865551492,0.09956452161813845,0.09908718003245198,0.1001951792442326,0.10022209398885495,0.09985356543045132,0.09908998495758814,0.10029696525445342,0.0989552132068372,0.10084810867796001,0.10150184945158669,0.10061215380787836,0.09945523447474836,0.1006279971240398,0.10046468597674929,0.09993238985909114,0.097689139934236,0.099658541016864,0.09989161001935276,0.09920256129376326,0.10010740961396514,0.09918137867676546,0.10050199123792614,0.09982613693223863,0.10062371645062718,0.10108700490957068,0.1007168119527172,0.09965931142905227,0.09944071806759625,0.10032323517717678,0.10069501219645183,0.10018815112376389,0.09958773121138054,0.09973180863917674,0.10037717854357364,0.09976547694493909,0.09872116503508122,0.10003278598645426,0.10031420919664158,0.10010442194412583,0.10099437969166614,0.10229055400757281,0.10041082650250743,0.09876927371834587,0.10081426438776919,0.1007866115472642,0.09965063923595885,0.10099718259154056,0.10168836443304952,0.10091840920440776,0.10079576642848498,0.10035356736553869,0.09976909988135318,0.09974649421734505,0.10003287272643169,0.0989690062933215,0.10064300086731037,0.09929032641543722,0.09770503025598143,0.10084421478243111,0.10226565642617036,0.10056198328659693,0.09890082283321577,0.10052963544284887,0.09966462569755308,0.10010912978484576,0.10019489669235326,0.09915995698730873,0.10107850793274165,0.10041340111369079,0.09913236005166759,0.0987470397845156,0.09988749322895396,0.09959734357121475,0.1000639615233192,0.10072531889499492,0.10051244173600082,0.09868498778646817,0.09906725790099313,0.10129701087188181,0.09863985585604063,0.09983374178216309,0.09980313703942822
amecro,0.10092927523982809,0.09983100379870535,0.1006249174939331,0.09999229074674965,0.10053603588904991,0.09971892955166872,0.09924041636335978,0.09987212961406655,0.10012723672284185,0.09934576313943921,0.09971659470448913,0.09990652755326224,0.10050304603541882,0.09998418304178891,0.09951958804680494,0.09975669042409407,0.10106444710240403,0.09918217246439376,0.10100694586691539,0.1003200980120198,0.09967136275509247,0.10016295650829576,0.10008867052970949,0.0993607730615178,0.09999833886402598,0.09938542240877268,0.09923233618640914,0.09886994637535373,0.09957812198455862,0.09901581842047946,0.1006555784998664,0.10046752918079527,0.10002850559498366,0.09955332485237278,0.1000075427814302,0.100081180712559,0.1006224920762353,0.09961525678835947,0.10058527289608854,0.09984389371471192,0.09976293642698764,0.10052423420704315,0.10055980980354562,0.1000054918797666,0.10037997996310644,0.09993763115599741,0.09916585609708051,0.09999151918233107,0.10020769002458252,0.09998999596724722,0.09941111734788599,0.10043060534974835,0.1001670150123477,0.10002647204644433,0.09972547871337234,0.09895818234894094,0.09994830104234786,0.09973056039229888,0.10067203677262615,0.09909878838311226,0.10028231477172866,0.09909163784766672,0.10174236683290339,0.09919424323691928,0.09991426961094341,0.10020011691747222,0.09972195512445658,0.10093579436663802,0.1003572073066632,0.09964175742118186,0.10001917296548157,0.09876091338797544,0.09984065990882929,0.0998381274460236,0.10069673832937198,0.10058516425188913,0.1002003029950842,0.10027407582765058,0.10079912204571162,0.0991696733677383,0.10029916418174878,0.10075204668160787,0.0999448724231673,0.1003285946953607,0.09988797235198632,0.09920475765086678,0.09862355231366138,0.09928802035679674,0.1006803283473392,0.09881871779667772,0.09948389223348642,0.09968101863004009,0.09979999829718622,0.10107770123802773,0.10031026902005458,0.09977756422449069,0.10058505226096948,0.09929591348135602,0.0995777440131036,0.10024814820826489
amedip,0.09994550664130486,0.10187940628905778,0.10052038483544834,0.1010222947662669,0.10142382880852097,0.10177305136015491,0.10025159614703227,0.10117040328643156,0.09953107464718869,0.10256612585632752,0.10119690108058421,0.0972912481060888,0.09871771476666424,0.10250276719847307,0.10068494058224076,0.09826700637017893,0.09800141839096455,0.0981423538434143,0.10288855111903672,0.10153951684996798,0.0988528343774675,0.10409699475194145,0.09972623941197867,0.10011345072602751,0.10087058266475424,0.09580313993886591,0.10174866079903211,0.10155099222674835,0.10067372847318268,0.10130044718468412,0.09758954891746896,0.0980354868582225,0.10058259599678365,0.10054564475291272,0.1001323492214965,0.10263429962432724,0.10113166073399782,0.10147914335485098,0.10196197637341697,0.09765205104326924,0.10275617729774922,0.09495455181783541,0.10161356131459343,0.1046124312337895,0.09772822165075468,0.10113083933357814,0.101310965879847,0.09890359752255051,0.10061617542032764,0.09729167366980107,0.10207655768586221,0.10193963218885926,0.09971792639858279,0.1025931283373609,0.09973300440557864,0.100894760995061,0.0997024663281536,0.10032676322146017,0.1010127455036951,0.09829520951741699,0.09724940020049644,0.09929657551919036,0.09978074909994916,0.10524486744836281,0.0972594711819994,0.09724591632674162,0.10277746193126802,0.10375805704127572,0.09927440267165366,0.10156562810395542,0.09836397155555687,0.0980796964163062,0.0994573320084271,0.09919928111231968,0.09854590496570381,0.09604304302996525,0.10099607762947471,0.10070371888410534,0.09871736087514194,0.09982144271155846,0.10051234478460458,0.09719350731225518,0.10116840676107586,0.10114395305441803,0.09784909603878589,0.09939143203484946,0.09787496813913776,0.09763607806823416,0.09848896838143162,0.09886588564518206,0.10094505309828605,0.0998244039169549,0.10076020612771686,0.10297312861925434,0.10152938184134541,0.09944675768439026,0.1024831250516911,0.099688499764639,0.09851441011807083,0.09685905803952721
