habitat,count_spp,count_spp_over95CI,count_spp_under95CI
Aridlands,62,6,56
Forest,202,159,42
Grasslands,31,6,25
Habitat Generalist,38,9,27
Water/wetland,146,33,108
Tipping Point,57,22,35
