species_code,sum
amecro,0.5438265694539188
amekes,0.37260165943135526
banswa,0.28442060926643165
barswa,0.3267295539667403
bkbmag1,0.5029778859086883
blkvul,0.5656426862610189
bnhcow,0.31703692358291535
brebla,0.276564613658905
brnowl,0.19088430442980153
buggna,0.56644628772255
cliswa,0.3419731195012763
comgra,0.3791711994976643
comnig,0.553606788123453
comrav,0.3731948534195385
comyel,0.49727882534581225
fiscro,0.5609852193291838
goleag,0.5770656288665481
grbani,0.05312559974720443
grhowl,0.38668235124775485
grtgra,0.10473193435558725
houfin,0.13677804125840687
killde,0.25827028078747416
merlin,0.37588147309159936
moudov,0.36281605350047386
norhar2,0.3214315751775074
normoc,0.31624804183224453
nrwswa,0.39143735368633326
perfal,0.331181873404391
purmar,0.3883609124383628
rethaw,0.4077578471904175
rewbla,0.3113280857291483
saypho,0.2299974601028767
sheowl,0.2851678597944072
sonspa,0.5065854084648884
treswa,0.42312725966039455
turvul,0.45752377478717676
whcspa,0.2850591288295885
whtkit,0.17713848030442847
