species_code,sum
amecro,0.42074581677598744
amekes,0.19428947037310884
banswa,0.16883187965027702
barswa,0.21136466441867174
bkbmag1,0.16831607459136685
blkvul,0.3896221035739652
bnhcow,0.21523652140440186
brebla,0.11146947941791602
brnowl,0.041848108225497005
buggna,0.4330840801243958
cliswa,0.16547129373604852
comgra,0.2982954842841364
comnig,0.3572946771691918
comrav,0.21278771667288685
comyel,0.40351811592610476
fiscro,0.43629075511494975
goleag,0.2822016155807233
grbani,0.014537377057081358
grhowl,0.2039608575615386
grtgra,0.057948747126626454
houfin,0.07877173465644383
killde,0.16416133573597191
merlin,0.228724870904772
moudov,0.21807140456566287
norhar2,0.16137504330006847
normoc,0.19684006206129417
nrwswa,0.2839799107912251
perfal,0.1870816111570064
purmar,0.3016005629645103
rethaw,0.26524740032891003
rewbla,0.22961630328494387
saypho,0.06101327107858001
sheowl,0.16115553881505718
sonspa,0.3935628547442236
treswa,0.37754260366794234
turvul,0.3332897839938447
whcspa,0.11873654907931241
whtkit,0.12125300182407983
