more75,more50,more37,guild,n
0.12280701754385964,0.38596491228070173,0.5789473684210527,tipping_point,57
0.09900990099009901,0.5693069306930693,0.8217821782178217,forest,202
0,0.16129032258064516,0.5483870967741935,grassland,31
0,0.14516129032258066,0.43548387096774194,aridland,62
0.04827586206896552,0.21379310344827587,0.4413793103448276,wetland,146
0,0.15789473684210525,0.42105263157894735,generalist,38
