"","species_code","common_name","scientific_name","habitat","tipping_pt","avg_37pct","stdev_37pct","lower95_37pct","upper95_37pct","sum_cna","over_upper95_37pct","under_lower95_37pct","avg_44pct","stdev_44pct","lower95_44pct","upper95_44pct","sum_carbon","over_upper95_44pct","under_lower95_44pct","p_value_37pct","p_value_44pct"
"245","leafly","Least Flycatcher","Empidonax minimus","Forest",NA,0.37,9e-04,0.368,0.372,0.453,1,0,0.44,9e-04,0.438,0.442,0.536,1,0,0,0
"246","leasan","Least Sandpiper","Calidris minutilla","Water/wetland",NA,0.37,0.0027,0.364,0.375,0.208,0,1,0.44,0.0028,0.434,0.445,0.166,0,1,0,0
"247","lecspa","LeConte's Sparrow","Ammospiza leconteii","Grasslands","Tipping Point",0.37,0.0018,0.366,0.374,0.272,0,1,0.44,0.0019,0.436,0.444,0.252,0,1,0,0
"248","lecthr","LeConte's Thrasher","Toxostoma lecontei","Aridlands","Tipping Point",0.371,0.0066,0.358,0.384,0.062,0,1,0.44,0.007,0.426,0.453,0.001,0,1,0,0
"249","lesgol","Lesser Goldfinch","Spinus psaltria","Forest",NA,0.37,0.0013,0.367,0.373,0.399,1,0,0.44,0.0015,0.437,0.443,0.229,0,1,0,0
"250","lesnig","Lesser Nighthawk","Chordeiles acutipennis","Aridlands",NA,0.37,0.0025,0.365,0.375,0.293,0,1,0.44,0.0025,0.435,0.445,0.009,0,1,0,0
"251","lessca","Lesser Scaup","Aythya affinis","Water/wetland",NA,0.368,0.0056,0.357,0.379,0.357,0,1,0.437,0.0057,0.426,0.448,0.418,0,1,0,0
"252","lesyel","Lesser Yellowlegs","Tringa flavipes","Water/wetland","Tipping Point",0.37,0.0028,0.364,0.375,0.143,0,1,0.44,0.0029,0.434,0.445,0.18,0,1,0,0
"253","lewwoo","Lewis's Woodpecker","Melanerpes lewis","Forest",NA,0.37,0.0026,0.365,0.375,0.383,1,0,0.44,0.0028,0.435,0.446,0.618,1,0,0,0
"254","libher","Little Blue Heron","Egretta caerulea","Water/wetland",NA,0.37,0.0028,0.364,0.375,0.433,1,0,0.44,0.0031,0.434,0.446,0.433,0,1,0,0
"255","limpki","Limpkin","Aramus guarauna","Water/wetland",NA,0.37,0.0103,0.35,0.391,0.635,1,0,0.44,0.0108,0.419,0.461,0.605,1,0,0,0
"256","linspa","Lincoln's Sparrow","Melospiza lincolnii","Forest",NA,0.37,5e-04,0.369,0.371,0.324,0,1,0.44,5e-04,0.439,0.441,0.377,0,1,0,0
"257","lobcur","Long-billed Curlew","Numenius americanus","Grasslands",NA,0.37,0.0044,0.361,0.379,0.237,0,1,0.44,0.0044,0.431,0.449,0.157,0,1,0,0
"258","lobdow","Long-billed Dowitcher","Limnodromus scolopaceus","Water/wetland","Tipping Point",0.37,0.0043,0.361,0.378,0.176,0,1,0.439,0.0047,0.43,0.448,0.173,0,1,0,0
"259","lobthr","Long-billed Thrasher","Toxostoma longirostre","Aridlands",NA,0.37,0.0054,0.36,0.381,0.357,0,1,0.44,0.0053,0.43,0.45,0.067,0,1,0,0
"260","loeowl","Long-eared Owl","Asio otus","Forest",NA,0.37,0.0018,0.366,0.374,0.216,0,1,0.44,0.0019,0.436,0.444,0.316,0,1,0,0
"261","logshr","Loggerhead Shrike","Lanius ludovicianus","Grasslands",NA,0.37,9e-04,0.368,0.372,0.352,0,1,0.44,9e-04,0.438,0.442,0.236,0,1,0,0
"262","lotduc","Long-tailed Duck","Clangula hyemalis","Water/wetland",NA,0.326,0.0134,0.3,0.353,0.449,1,0,0.388,0.0137,0.361,0.415,0.134,0,1,0,0
"263","louwat","Louisiana Waterthrush","Parkesia motacilla","Forest",NA,0.37,0.0014,0.367,0.373,0.845,1,0,0.44,0.0015,0.437,0.443,0.83,1,0,0,0
"264","lucwar","lucy's warbler","Leiothlypis luciae","Aridlands",NA,0.37,0.0033,0.364,0.377,0.257,0,1,0.44,0.0035,0.433,0.447,0.018,0,1,0,0
"265","macwar","MacGillivray's Warbler","Geothlypis tolmiei","Forest",NA,0.37,0.001,0.368,0.372,0.346,0,1,0.44,0.001,0.438,0.442,0.558,1,0,0,0
"266","magwar","Magnolia Warbler","Setophaga magnolia","Forest",NA,0.37,0.001,0.368,0.372,0.565,1,0,0.44,0.001,0.438,0.442,0.663,1,0,0,0
"267","mallar3","Mallard","Anas platyrhynchos","Water/wetland",NA,0.369,0.0032,0.363,0.376,0.308,0,1,0.439,0.0031,0.433,0.445,0.377,0,1,0,0
"268","margod","Marbled Godwit","Limosa fedoa","Water/wetland",NA,0.37,0.0179,0.335,0.405,0.221,0,1,0.438,0.0183,0.402,0.474,0.271,0,1,0,0
"269","marwre","Marsh Wren","Cistothorus palustris","Water/wetland",NA,0.37,0.0015,0.367,0.372,0.277,0,1,0.44,0.0016,0.436,0.443,0.294,0,1,0,0
"270","mcclon","Thick-billed Longspur","Rhynchophanes mccownii","Grasslands","Tipping Point",0.37,0.0034,0.363,0.377,0.333,0,1,0.44,0.0036,0.433,0.447,0.307,0,1,0,0
"271","merlin","Merlin","Falco columbarius","Habitat Generalist",NA,0.37,6e-04,0.369,0.371,0.216,0,1,0.44,6e-04,0.439,0.441,0.283,0,1,0,0
"272","mewgul","Common Gull","Larus canus","Water/wetland",NA,0.332,0.0218,0.29,0.375,0.09,0,1,0.394,0.0221,0.35,0.437,0,0,1,0,0
"273","mexjay4","Mexican Jay","Aphelocoma wollweberi","Forest",NA,0.37,0.0113,0.348,0.392,0.394,1,0,0.44,0.0114,0.417,0.462,0.296,0,1,0,0
"274","miskit","Mississippi Kite","Ictinia mississippiensis","Forest",NA,0.37,0.0016,0.367,0.373,0.582,1,0,0.44,0.0016,0.437,0.443,0.4,0,1,0,0
"275","motduc","Mottled Duck","Anas fulvigula","Water/wetland","Tipping Point",0.367,0.0077,0.352,0.382,0.347,0,1,0.436,0.0077,0.421,0.451,0.465,1,0,0,0
"276","moublu","Mountain Bluebird","Sialia currucoides","Forest",NA,0.37,0.001,0.368,0.372,0.319,0,1,0.44,0.001,0.438,0.442,0.341,0,1,0,0
"277","mouchi","Mountain Chickadee","Poecile gambeli","Forest",NA,0.37,0.0018,0.367,0.374,0.384,1,0,0.44,0.0018,0.436,0.444,0.858,1,0,0,0
"278","moudov","Mourning Dove","Zenaida macroura","Habitat Generalist",NA,0.37,6e-04,0.369,0.371,0.424,1,0,0.44,6e-04,0.439,0.441,0.363,0,1,0,0
"279","mouplo","Mountain Plover","Charadrius montanus","Grasslands","Tipping Point",0.37,0.0107,0.349,0.391,0.209,0,1,0.44,0.0105,0.42,0.461,0.144,0,1,0,0
"280","mouqua","Mountain Quail","Oreortyx pictus","Forest",NA,0.37,0.0041,0.362,0.378,0.651,1,0,0.44,0.0043,0.432,0.448,0.915,1,0,0,0
"281","mouwar","Mourning Warbler","Geothlypis philadelphia","Forest","Tipping Point",0.37,0.0021,0.366,0.374,0.577,1,0,0.44,0.0023,0.435,0.444,0.801,1,0,0,0
"282","naswar","nashville warbler","Leiothlypis ruficapilla","Forest",NA,0.37,9e-04,0.368,0.372,0.498,1,0,0.44,9e-04,0.438,0.442,0.581,1,0,0,0
"283","nopowl","Northern Pygmy-Owl","Glaucidium gnoma","Forest",NA,0.37,0.0025,0.365,0.375,0.576,1,0,0.44,0.0025,0.435,0.445,0.926,1,0,0,0
"284","norbob","Northern Bobwhite","Colinus virginianus","Forest",NA,0.37,0.0013,0.368,0.372,0.495,1,0,0.44,0.0013,0.437,0.443,0.347,0,1,0,0
"285","norcar","Northern Cardinal","Cardinalis cardinalis","Forest",NA,0.37,7e-04,0.369,0.371,0.631,1,0,0.44,7e-04,0.439,0.441,0.549,1,0,0,0
"286","norfli","Northern Flicker","Colaptes auratus","Forest",NA,0.37,3e-04,0.369,0.371,0.474,1,0,0.44,3e-04,0.439,0.441,0.535,1,0,0,0
"287","norgos","Northern Goshawk","Accipiter gentilis","Forest",NA,0.37,8e-04,0.368,0.371,0.118,0,1,0.44,9e-04,0.438,0.441,0.339,0,1,0,0
"288","norhar2","Northern Harrier","Circus hudsonius","Habitat Generalist",NA,0.37,6e-04,0.369,0.371,0.274,0,1,0.44,6e-04,0.439,0.441,0.291,0,1,0,0
"289","normoc","Northern Mockingbird","Mimus polyglottos","Habitat Generalist",NA,0.37,8e-04,0.368,0.371,0.506,1,0,0.44,8e-04,0.438,0.442,0.317,0,1,0,0
"290","norpar","Northern Parula","Setophaga americana","Forest",NA,0.37,0.0011,0.368,0.372,0.691,1,0,0.44,0.0011,0.438,0.442,0.74,1,0,0,0
"291","norpin","Northern Pintail","Anas acuta","Water/wetland",NA,0.369,0.0021,0.365,0.373,0.207,0,1,0.439,0.0021,0.435,0.443,0.261,0,1,0,0
"292","norsho","Northern Shoveler","Spatula clypeata","Water/wetland",NA,0.37,0.0044,0.361,0.379,0.198,0,1,0.44,0.0046,0.431,0.449,0.215,0,1,0,0
"293","norshr4","Northern Shrike","Lanius borealis","Water/wetland",NA,0.37,7e-04,0.369,0.371,0.187,0,1,0.44,8e-04,0.438,0.441,0.321,0,1,0,0
"294","norwat","Northern Waterthrush","Parkesia noveboracensis","Forest",NA,0.37,9e-04,0.368,0.372,0.256,0,1,0.44,9e-04,0.438,0.442,0.418,0,1,0,0
"295","nrwswa","Northern Rough-winged Swallow","Stelgidopteryx serripennis","Habitat Generalist",NA,0.369,0.0014,0.367,0.372,0.385,1,0,0.439,0.0015,0.436,0.442,0.39,0,1,0,0
"296","nstspa","Nelson's Sparrow","Ammospiza nelsoni","Water/wetland",NA,0.369,0.0025,0.364,0.374,0.175,0,1,0.439,0.0026,0.434,0.444,0.249,0,1,0,0
"297","nswowl","Northern Saw-whet Owl","Aegolius acadicus","Forest",NA,0.37,0.0014,0.367,0.373,0.345,0,1,0.44,0.0015,0.437,0.443,0.751,1,0,0,0
"298","nutwoo","Nuttall's Woodpecker","Dryobates nuttallii","Forest",NA,0.37,0.0043,0.362,0.378,0.602,1,0,0.44,0.005,0.43,0.45,0.451,1,0,0,0
"299","oaktit","Oak Titmouse","Baeolophus inornatus","Forest",NA,0.37,0.0051,0.36,0.38,0.742,1,0,0.44,0.0057,0.429,0.451,0.667,1,0,0,0
"300","olispa","Olive Sparrow","Arremonops rufivirgatus","Aridlands",NA,0.37,0.0052,0.36,0.38,0.361,0,0,0.44,0.0052,0.43,0.45,0.062,0,1,3.25443228102842e-303,0
"301","olsfly","Olive-sided Flycatcher","Contopus cooperi","Forest","Tipping Point",0.37,7e-04,0.369,0.371,0.349,0,1,0.44,7e-04,0.439,0.441,0.525,1,0,0,0
"302","orcori","Orchard Oriole","Icterus spurius","Forest",NA,0.37,9e-04,0.368,0.371,0.543,1,0,0.44,9e-04,0.438,0.441,0.493,1,0,0,0
"303","orcwar","orange-crowned warbler","Leiothlypis celata","Forest",NA,0.37,5e-04,0.369,0.371,0.31,0,1,0.44,5e-04,0.439,0.441,0.407,0,1,0,0
"304","osprey","Osprey","Pandion haliaetus","Water/wetland",NA,0.367,0.0021,0.363,0.371,0.425,1,0,0.436,0.0021,0.432,0.441,0.529,1,0,0,0
"305","ovenbi1","Ovenbird","Seiurus aurocapilla","Forest",NA,0.37,0.0014,0.367,0.373,0.716,1,0,0.44,0.0014,0.437,0.443,0.858,1,0,0,0
"306","pacwre1","Pacific Wren","Troglodytes pacificus","Forest",NA,0.365,0.0026,0.36,0.37,0.445,1,0,0.434,0.0027,0.429,0.439,0.812,1,0,0,0
"307","pagplo","Pacific Golden-Plover","Pluvialis fulva","Water/wetland",NA,0.363,0.0051,0.353,0.373,0.146,0,1,0.431,0.0049,0.422,0.441,0.004,0,1,0,0
"308","paibun","Painted Bunting","Passerina ciris","Forest",NA,0.37,0.0017,0.367,0.373,0.644,1,0,0.44,0.0017,0.437,0.443,0.304,0,1,0,0
"309","palwar","Palm Warbler","Setophaga palmarum","Forest",NA,0.37,0.0014,0.367,0.373,0.531,1,0,0.44,0.0015,0.437,0.443,0.553,1,0,0,0
"310","pasfly","Pacific-slope Flycatcher","Empidonax difficilis","Forest",NA,0.37,0.0025,0.365,0.375,0.413,1,0,0.44,0.0026,0.434,0.445,0.692,1,0,0,0
"311","pecsan","Pectoral Sandpiper","Calidris melanotos","Water/wetland","Tipping Point",0.369,0.0035,0.362,0.376,0.117,0,1,0.439,0.0036,0.432,0.446,0.121,0,1,0,0
"312","perfal","Peregrine Falcon","Falco peregrinus","Habitat Generalist",NA,0.366,0.0011,0.363,0.368,0.222,0,1,0.435,0.0012,0.432,0.437,0.267,0,1,0,0
"313","phaino","Phainopepla","Phainopepla nitens","Aridlands",NA,0.37,0.0032,0.364,0.376,0.29,0,1,0.44,0.0033,0.434,0.447,0.078,0,1,0,0
"314","phivir","Philadelphia Vireo","Vireo philadelphicus","Forest",NA,0.37,0.001,0.368,0.372,0.537,1,0,0.44,0.001,0.438,0.442,0.614,1,0,0,0
"315","pibgre","Pied-billed Grebe","Podilymbus podiceps","Water/wetland",NA,0.37,0.0014,0.367,0.373,0.412,1,0,0.44,0.0014,0.437,0.443,0.434,0,1,0,0
"316","pilwoo","Pileated Woodpecker","Dryocopus pileatus","Forest",NA,0.37,9e-04,0.368,0.372,0.756,1,0,0.44,9e-04,0.438,0.442,0.798,1,0,0,0
"317","pingro","Pine Grosbeak","Pinicola enucleator","Forest",NA,0.37,0.0011,0.368,0.372,0.081,0,1,0.44,0.0012,0.438,0.442,0.355,0,1,0,0
"318","pinjay","Pinyon Jay","Gymnorhinus cyanocephalus","Forest","Tipping Point",0.37,0.0027,0.365,0.375,0.14,0,1,0.44,0.0028,0.434,0.445,0.127,0,1,0,0
"319","pinsis","Pine Siskin","Spinus pinus","Forest",NA,0.37,8e-04,0.368,0.371,0.458,1,0,0.44,9e-04,0.438,0.441,0.641,1,0,0,0
"320","pinwar","Pine Warbler","Setophaga pinus","Forest",NA,0.37,0.0013,0.367,0.372,0.774,1,0,0.44,0.0013,0.437,0.442,0.723,1,0,0,0
"321","plsvir","Plumbeous Vireo","Vireo plumbeus","Forest",NA,0.37,0.0021,0.366,0.374,0.329,0,1,0.44,0.002,0.436,0.444,0.398,0,1,0,0
"322","prafal","Prairie Falcon","Falco mexicanus","Aridlands",NA,0.37,8e-04,0.368,0.372,0.293,0,1,0.44,9e-04,0.438,0.442,0.361,0,1,0,0
"323","prawar","Prairie Warbler","Setophaga discolor","Forest","Tipping Point",0.37,0.0016,0.367,0.373,0.791,1,0,0.44,0.0015,0.437,0.443,0.755,1,0,0,0
"324","prowar","Prothonotary Warbler","Protonotaria citrea","Forest",NA,0.37,0.0027,0.365,0.375,0.626,1,0,0.44,0.0027,0.435,0.445,0.691,1,0,0,0
"325","purfin","Purple Finch","Haemorhous purpureus","Forest",NA,0.37,9e-04,0.368,0.372,0.595,1,0,0.44,9e-04,0.438,0.442,0.685,1,0,0,0
"326","purgal2","purple gallinule","Porphyrio martinica","Water/wetland",NA,0.37,0.0073,0.356,0.384,0.502,1,0,0.44,0.0074,0.425,0.454,0.688,1,0,0,0
"327","purmar","Purple Martin","Progne subis","Habitat Generalist",NA,0.369,0.0276,0.315,0.423,0.379,0,0,0.441,0.0287,0.385,0.497,0.389,0,0,6.06432010180488e-29,2.7845144547096e-318
"328","pursan","Purple Sandpiper","Calidris maritima","Water/wetland",NA,0.339,0.0377,0.265,0.413,0.809,1,0,0.406,0.0372,0.333,0.479,0.153,0,1,0,0
"329","pygnut","Pygmy Nuthatch","Sitta pygmaea","Forest",NA,0.37,0.0044,0.361,0.378,0.518,1,0,0.44,0.0043,0.431,0.448,0.799,1,0,0,0
"330","pyrrhu","Pyrrhuloxia","Cardinalis sinuatus","Aridlands",NA,0.37,0.0033,0.364,0.377,0.48,1,0,0.44,0.0033,0.434,0.446,0.028,0,1,0,0
"331","rebmer","Red-breasted Merganser","Mergus serrator","Water/wetland",NA,0.363,0.0151,0.334,0.393,0.372,0,0,0.431,0.015,0.402,0.461,0.304,0,1,2.45565462517745e-68,0
"332","rebnut","Red-breasted Nuthatch","Sitta canadensis","Forest",NA,0.37,0.001,0.368,0.372,0.535,1,0,0.44,0.001,0.438,0.442,0.826,1,0,0,0
"333","rebsap","Red-breasted Sapsucker","Sphyrapicus ruber","Forest",NA,0.37,0.0027,0.365,0.375,0.446,1,0,0.44,0.0028,0.434,0.445,0.831,1,0,0,0
"334","rebwoo","Red-bellied Woodpecker","Melanerpes carolinus","Forest",NA,0.37,8e-04,0.369,0.371,0.654,1,0,0.44,8e-04,0.438,0.442,0.623,1,0,0,0
"335","recwoo","Red-cockaded Woodpecker","Dryobates borealis","Forest",NA,0.37,0.0101,0.35,0.39,0.883,1,0,0.44,0.0105,0.419,0.46,0.83,1,0,0,0
"336","redcro","Red Crossbill","Loxia curvirostra","Forest",NA,0.369,0.0014,0.367,0.372,0.508,1,0,0.439,0.0014,0.436,0.442,0.856,1,0,0,0
"337","redhea","Redhead","Aythya americana","Water/wetland",NA,0.365,0.0081,0.35,0.381,0.474,1,0,0.434,0.0086,0.417,0.451,0.361,0,1,0,0
"338","redkno","Red Knot","Calidris canutus","Water/wetland","Tipping Point",0.356,0.0402,0.277,0.434,0.486,1,0,0.42,0.0399,0.342,0.498,0.242,0,1,0,0
"339","reevir1","Red-eyed Vireo","Vireo olivaceus","Forest",NA,0.37,9e-04,0.368,0.372,0.706,1,0,0.44,9e-04,0.438,0.442,0.768,1,0,0,0
"340","refwar","Red-faced Warbler","Cardellina rubrifrons","Forest",NA,0.37,0.01,0.35,0.389,0.471,1,0,0.44,0.0103,0.42,0.46,0.894,1,0,0,0
"341","rehwoo","Red-headed Woodpecker","Melanerpes erythrocephalus","Forest","Tipping Point",0.37,9e-04,0.368,0.372,0.55,1,0,0.44,9e-04,0.438,0.442,0.516,1,0,0,0
"342","rengre","Red-necked Grebe","Podiceps grisegena","Water/wetland",NA,0.361,0.0049,0.351,0.37,0.338,0,1,0.429,0.0048,0.419,0.438,0.353,0,1,0,0
"343","renpha","Red-necked Phalarope","Phalaropus lobatus","Water/wetland",NA,0.363,0.0142,0.335,0.391,0.143,0,1,0.43,0.0147,0.401,0.459,0.054,0,1,0,0
"344","rensap","Red-naped Sapsucker","Sphyrapicus nuchalis","Forest",NA,0.37,0.0013,0.368,0.373,0.328,0,1,0.44,0.0013,0.437,0.443,0.569,1,0,0,0
"345","reshaw","Red-shouldered Hawk","Buteo lineatus","Forest",NA,0.37,9e-04,0.368,0.372,0.693,1,0,0.44,0.001,0.438,0.442,0.641,1,0,0,0
"346","rethaw","Red-tailed Hawk","Buteo jamaicensis","Habitat Generalist",NA,0.37,5e-04,0.369,0.371,0.377,1,0,0.44,5e-04,0.439,0.441,0.399,0,1,0,0
"347","retloo","Red-throated Loon","Gavia stellata","Water/wetland",NA,0.35,0.0082,0.334,0.366,0.424,1,0,0.416,0.0085,0.4,0.433,0.134,0,1,0,0
"348","rewbla","Red-winged Blackbird","Agelaius phoeniceus","Habitat Generalist",NA,0.37,0.0065,0.357,0.382,0.307,0,1,0.44,0.0068,0.427,0.453,0.311,0,1,0,0
"349","ribgul","Ring-billed Gull","Larus delawarensis","Water/wetland",NA,0.369,0.0042,0.361,0.377,0.329,0,1,0.439,0.0043,0.43,0.447,0.357,0,1,0,0
"350","rinduc","Ring-necked Duck","Aythya collaris","Water/wetland",NA,0.37,0.0022,0.366,0.374,0.352,0,1,0.44,0.0023,0.435,0.445,0.409,0,1,0,0
"351","robgro","Rose-breasted Grosbeak","Pheucticus ludovicianus","Forest",NA,0.37,9e-04,0.368,0.372,0.542,1,0,0.44,9e-04,0.438,0.442,0.591,1,0,0,0
"352","rocsan","Rock Sandpiper","Calidris ptilocnemis","Water/wetland","Tipping Point",0.36,0.0172,0.326,0.393,0.423,1,0,0.428,0.0177,0.394,0.463,0.037,0,1,0,0
"353","rocwre","Rock Wren","Salpinctes obsoletus","Aridlands",NA,0.37,0.0011,0.368,0.372,0.255,0,1,0.44,0.0012,0.438,0.442,0.332,0,1,0,0
"354","rolhaw","Rough-legged Hawk","Buteo lagopus","Water/wetland",NA,0.37,9e-04,0.368,0.371,0.244,0,1,0.44,9e-04,0.438,0.441,0.376,0,1,0,0
"355","rosgoo","Ross's Goose","Anser rossii","Water/wetland",NA,0.37,0.0047,0.361,0.379,0.21,0,1,0.44,0.0046,0.431,0.449,0.214,0,1,0,0
"356","rosspo1","Roseate Spoonbill","Platalea ajaja","Water/wetland",NA,0.367,0.005,0.357,0.376,0.397,1,0,0.436,0.0053,0.425,0.446,0.444,0,0,0,2.86011336552924e-260
"357","rthhum","Ruby-throated Hummingbird","Archilochus colubris","Forest",NA,0.37,8e-04,0.368,0.372,0.664,1,0,0.44,9e-04,0.438,0.442,0.659,1,0,0,0
"358","ruckin","ruby-crowned kinglet","Corthylio calendula","Forest",NA,0.37,4e-04,0.369,0.371,0.446,1,0,0.44,4e-04,0.439,0.441,0.544,1,0,0,0
"359","rucspa","Rufous-crowned Sparrow","Aimophila ruficeps","Aridlands",NA,0.37,0.0032,0.364,0.376,0.568,1,0,0.44,0.0036,0.433,0.447,0.208,0,1,0,0
"360","rudduc","Ruddy Duck","Oxyura jamaicensis","Water/wetland",NA,0.37,0.0045,0.361,0.379,0.333,0,1,0.44,0.0048,0.43,0.449,0.356,0,1,0,0
"361","rudtur","Ruddy Turnstone","Arenaria interpres","Water/wetland","Tipping Point",0.351,0.0115,0.328,0.373,0.291,0,1,0.417,0.0111,0.395,0.439,0.168,0,1,0,0
"362","rufgro","Ruffed Grouse","Bonasa umbellus","Forest",NA,0.37,0.002,0.366,0.374,0.609,1,0,0.44,0.002,0.436,0.444,0.942,1,0,0,0
"363","rufhum","Rufous Hummingbird","Selasphorus rufus","Forest","Tipping Point",0.37,0.0014,0.367,0.373,0.367,0,1,0.44,0.0015,0.437,0.443,0.569,1,0,0,0
"364","rusbla","Rusty Blackbird","Euphagus carolinus","Forest",NA,0.37,0.0012,0.368,0.372,0.339,0,1,0.44,0.0012,0.438,0.442,0.421,0,1,0,0
"365","saggro","Greater Sage-Grouse","Centrocercus urophasianus","Aridlands","Tipping Point",0.37,0.0028,0.364,0.376,0.119,0,1,0.44,0.0029,0.434,0.446,0.668,1,0,0,0
"366","sagspa1","Sagebrush Sparrow","Artemisiospiza nevadensis","Aridlands",NA,0.37,0.0018,0.366,0.374,0.117,0,1,0.44,0.0019,0.436,0.444,0.113,0,1,0,0
"367","sagthr","Sage Thrasher","Oreoscoptes montanus","Aridlands",NA,0.37,0.0013,0.367,0.373,0.188,0,1,0.44,0.0014,0.437,0.443,0.286,0,1,0,0
"368","sancra","Sandhill Crane","Antigone canadensis","Water/wetland",NA,0.37,0.0031,0.364,0.376,0.296,0,1,0.44,0.0031,0.434,0.446,0.26,0,1,0,0
"369","sander","Sanderling","Calidris alba","Water/wetland",NA,0.359,0.011,0.337,0.381,0.526,1,0,0.426,0.0116,0.403,0.449,0.221,0,1,0,0
"370","savspa","Savannah Sparrow","Passerculus sandwichensis","Grasslands",NA,0.369,7e-04,0.368,0.371,0.296,0,1,0.439,7e-04,0.438,0.441,0.252,0,1,0,0
"371","saypho","Say's Phoebe","Sayornis saya","Habitat Generalist",NA,0.37,9e-04,0.368,0.372,0.311,0,1,0.44,9e-04,0.438,0.442,0.226,0,1,0,0
"372","scaqua","Scaled Quail","Callipepla squamata","Aridlands",NA,0.37,0.0027,0.365,0.375,0.49,1,0,0.44,0.003,0.434,0.446,0.024,0,1,0,0
"373","scatan","Scarlet Tanager","Piranga olivacea","Forest",NA,0.37,0.0013,0.367,0.372,0.78,1,0,0.44,0.0013,0.437,0.442,0.82,1,0,0,0
"374","scoori","Scott's Oriole","Icterus parisorum","Forest",NA,0.37,0.0024,0.365,0.375,0.303,0,1,0.44,0.0025,0.435,0.445,0.053,0,1,0,0
"375","sctfly","Scissor-tailed Flycatcher","Tyrannus forficatus","Grasslands",NA,0.37,0.0018,0.367,0.374,0.545,1,0,0.44,0.0018,0.437,0.444,0.251,0,1,0,0
"376","sedwre1","sedge wren","Cistothorus stellaris","Grasslands",NA,0.37,0.0014,0.367,0.373,0.306,0,1,0.44,0.0014,0.437,0.443,0.339,0,1,0,0
"377","semplo","Semipalmated Plover","Charadrius semipalmatus","Water/wetland",NA,0.367,0.0077,0.351,0.382,0.228,0,1,0.436,0.008,0.42,0.451,0.247,0,1,0,0
"378","semsan","Semipalmated Sandpiper","Calidris pusilla","Water/wetland","Tipping Point",0.368,0.0075,0.353,0.383,0.21,0,1,0.437,0.0076,0.423,0.452,0.273,0,1,0,0
"379","shbdow","Short-billed Dowitcher","Limnodromus griseus","Water/wetland","Tipping Point",0.364,0.0184,0.328,0.4,0.309,0,1,0.433,0.0186,0.397,0.47,0.338,0,1,0,0
"380","sheowl","Short-eared Owl","Asio flammeus","Habitat Generalist",NA,0.37,0.0013,0.367,0.372,0.232,0,1,0.44,0.0012,0.437,0.442,0.258,0,1,0,0
"381","shshaw","Sharp-shinned Hawk","Accipiter striatus","Forest",NA,0.37,6e-04,0.369,0.371,0.377,1,0,0.44,6e-04,0.439,0.441,0.52,1,0,0,0
"382","shtgro","Sharp-tailed Grouse","Tympanuchus phasianellus","Grasslands",NA,0.37,0.002,0.366,0.374,0.451,1,0,0.44,0.0021,0.436,0.444,0.679,1,0,0,0
"383","smilon","Smith's Longspur","Calcarius pictus","Water/wetland",NA,0.37,0.0035,0.363,0.377,0.257,0,1,0.44,0.0039,0.432,0.448,0.22,0,1,0,0
"384","snobun","Snow Bunting","Plectrophenax nivalis","Water/wetland",NA,0.368,0.0014,0.366,0.371,0.136,0,1,0.438,0.0014,0.435,0.441,0.244,0,1,0,0
"385","snoegr","Snowy Egret","Egretta thula","Water/wetland",NA,0.368,0.0061,0.356,0.38,0.361,0,0,0.437,0.0063,0.425,0.449,0.416,0,1,6.81320815681436e-185,0
"386","snogoo","Snow Goose","Anser caerulescens","Water/wetland",NA,0.37,0.0028,0.364,0.375,0.238,0,1,0.44,0.0028,0.434,0.445,0.278,0,1,0,0
"387","snoowl1","Snowy Owl","Bubo scandiacus","Water/wetland","Tipping Point",0.365,0.0028,0.359,0.37,0.135,0,1,0.433,0.0031,0.427,0.44,0.162,0,1,0,0
"388","solsan","Solitary Sandpiper","Tringa solitaria","Water/wetland",NA,0.37,9e-04,0.368,0.372,0.284,0,1,0.44,9e-04,0.438,0.442,0.321,0,1,0,0
"389","sonspa","Song Sparrow","Melospiza melodia","Habitat Generalist",NA,0.37,5e-04,0.369,0.371,0.478,1,0,0.44,5e-04,0.439,0.441,0.506,1,0,0,0
"390","soogro1","Sooty Grouse","Dendragapus fuliginosus","Forest",NA,0.37,0.0046,0.361,0.379,0.297,0,1,0.44,0.0048,0.43,0.449,0.867,1,0,0,0
"391","sora","Sora","Porzana carolina","Water/wetland",NA,0.37,0.0013,0.367,0.373,0.26,0,1,0.44,0.0014,0.437,0.443,0.295,0,1,0,0
"392","sposan","Spotted Sandpiper","Actitis macularius","Water/wetland",NA,0.37,7e-04,0.368,0.371,0.238,0,1,0.44,7e-04,0.438,0.441,0.345,0,1,0,0
"393","spotow","Spotted Towhee","Pipilo maculatus","Forest",NA,0.37,9e-04,0.368,0.372,0.458,1,0,0.44,9e-04,0.438,0.442,0.521,1,0,0,0
"394","sprgro","spruce grouse","Canachites canadensis","Forest",NA,0.37,0.0017,0.367,0.373,0.033,0,1,0.44,0.0019,0.436,0.444,0.426,0,1,0,0
"395","sprpip","Sprague's Pipit","Anthus spragueii","Grasslands","Tipping Point",0.37,0.0019,0.366,0.374,0.339,0,1,0.44,0.002,0.436,0.444,0.433,0,1,0,0
"396","steeid","Steller's Eider","Polysticta stelleri","Water/wetland",NA,0.332,0.0105,0.311,0.352,0.522,1,0,0.394,0.0105,0.373,0.415,0,0,1,0,0
