"","species_code","common_name","scientific_name","habitat","tipping_pt","avg_37pct","stdev_37pct","lower95_37pct","upper95_37pct","sum_cna","over_upper95_37pct","under_lower95_37pct","avg_44pct","stdev_44pct","lower95_44pct","upper95_44pct","sum_carbon","over_upper95_44pct","under_lower95_44pct","p_value_37pct","p_value_44pct"
"137","comloo","Common Loon","Gavia immer","Water/wetland",NA,0.364,0.004,0.356,0.372,0.422,1,0,0.433,0.0042,0.424,0.441,0.514,1,0,0,0
"138","commer","Common Merganser","Mergus merganser","Water/wetland",NA,0.369,0.0081,0.353,0.385,0.435,1,0,0.44,0.0085,0.423,0.456,0.587,1,0,0,0
"139","comnig","Common Nighthawk","Chordeiles minor","Habitat Generalist",NA,0.37,7e-04,0.369,0.371,0.467,1,0,0.44,8e-04,0.438,0.441,0.553,1,0,0,0
"140","compoo","Common Poorwill","Phalaenoptilus nuttallii","Aridlands",NA,0.37,0.0014,0.367,0.373,0.325,0,1,0.44,0.0015,0.437,0.443,0.402,0,1,0,0
"141","comrav","Common Raven","Corvus corax","Habitat Generalist",NA,0.369,6e-04,0.368,0.37,0.207,0,1,0.439,6e-04,0.438,0.44,0.346,0,1,0,0
"142","comred","Common Redpoll","Acanthis flammea","Water/wetland",NA,0.37,0.001,0.368,0.372,0.144,0,1,0.44,0.001,0.438,0.442,0.344,0,1,0,0
"143","comter","Common Tern","Sterna hirundo","Water/wetland",NA,0.324,0.023,0.279,0.369,0.685,1,0,0.386,0.0245,0.338,0.434,0.192,0,1,0,0
"144","comyel","Common Yellowthroat","Geothlypis trichas","Habitat Generalist",NA,0.37,6e-04,0.369,0.371,0.445,1,0,0.44,6e-04,0.439,0.441,0.498,1,0,0,0
"145","conwar","Connecticut Warbler","Oporornis agilis","Forest",NA,0.37,0.0055,0.359,0.381,0.401,1,0,0.44,0.0052,0.43,0.45,0.802,1,0,0,0
"146","coohaw","Cooper's Hawk","Accipiter cooperii","Forest",NA,0.37,5e-04,0.369,0.371,0.391,1,0,0.44,5e-04,0.439,0.441,0.416,0,1,0,0
