species_code,common_name,scientific_name,avg,stdev,lower95,upper95,habitat,tipping_pt,sum_carbon,over_upper95,under_lower95
rethaw,Red-tailed Hawk,Buteo jamaicensis,44.0%,0.05%,43.9%,44.1%,Habitat Generalist,NA,39.9%,0,1
rolhaw,Rough-legged Hawk,Buteo lagopus,44.0%,0.09%,43.8%,44.1%,Water/wetland,NA,37.6%,0,1
reshaw,Red-shouldered Hawk,Buteo lineatus,44.0%,0.10%,43.8%,44.2%,Forest,NA,64.1%,1,0
brwhaw,Broad-winged Hawk,Buteo platypterus,44.0%,0.35%,43.3%,44.7%,Forest,NA,53.3%,1,0
ferhaw,Ferruginous Hawk,Buteo regalis,44.0%,0.13%,43.7%,44.3%,Grasslands,NA,33.8%,0,1
swahaw,Swainson's Hawk,Buteo swainsoni,44.0%,0.23%,43.6%,44.4%,Grasslands,NA,24.9%,0,1
grnher,Green Heron,Butorides virescens,44.0%,0.11%,43.8%,44.2%,Water/wetland,NA,49.1%,1,0
larbun,Lark Bunting,Calamospiza melanocorys,44.0%,0.18%,43.6%,44.3%,Grasslands,NA,25.4%,0,1
laplon,Lapland Longspur,Calcarius lapponicus,43.8%,0.24%,43.3%,44.3%,Water/wetland,NA,28.1%,0,1
chclon,Chestnut-collared Longspur,Calcarius ornatus,44.0%,0.22%,43.6%,44.4%,Grasslands,Tipping Point,35.5%,0,1
smilon,Smith's Longspur,Calcarius pictus,44.0%,0.39%,43.2%,44.8%,Water/wetland,NA,22.0%,0,1
sander,Sanderling,Calidris alba,42.6%,1.16%,40.3%,44.9%,Water/wetland,NA,22.1%,0,1
dunlin,Dunlin,Calidris alpina,43.2%,0.97%,41.3%,45.1%,Water/wetland,NA,21.0%,0,1
baisan,Baird's Sandpiper,Calidris bairdii,44.0%,0.22%,43.6%,44.4%,Water/wetland,NA,28.2%,0,1
redkno,Red Knot,Calidris canutus,42.0%,3.99%,34.2%,49.8%,Water/wetland,Tipping Point,24.2%,0,1
whrsan,White-rumped Sandpiper,Calidris fuscicollis,44.0%,0.28%,43.4%,44.5%,Water/wetland,NA,23.8%,0,1
stisan,Stilt Sandpiper,Calidris himantopus,44.0%,0.29%,43.4%,44.6%,Water/wetland,Tipping Point,23.3%,0,1
pursan,Purple Sandpiper,Calidris maritima,40.6%,3.72%,33.3%,47.9%,Water/wetland,NA,15.3%,0,1
wessan,Western Sandpiper,Calidris mauri,43.5%,1.12%,41.3%,45.7%,Water/wetland,NA,17.7%,0,1
pecsan,Pectoral Sandpiper,Calidris melanotos,43.9%,0.36%,43.2%,44.6%,Water/wetland,Tipping Point,12.1%,0,1
leasan,Least Sandpiper,Calidris minutilla,44.0%,0.28%,43.4%,44.5%,Water/wetland,NA,16.6%,0,1
rocsan,Rock Sandpiper,Calidris ptilocnemis,42.8%,1.77%,39.4%,46.3%,Water/wetland,Tipping Point,3.7%,0,1
semsan,Semipalmated Sandpiper,Calidris pusilla,43.7%,0.76%,42.3%,45.2%,Water/wetland,Tipping Point,27.3%,0,1
bubsan,Buff-breasted Sandpiper,Calidris subruficollis,44.0%,0.87%,42.3%,45.8%,Water/wetland,Tipping Point,7.6%,0,1
surfbi,Surfbird,Calidris virgata,40.1%,0.97%,38.2%,42.0%,Water/wetland,Tipping Point,9.4%,0,1
calqua,California Quail,Callipepla californica,44.0%,0.28%,43.5%,44.6%,Aridlands,NA,45.6%,1,0
gamqua,Gambel's Quail,Callipepla gambelii,44.0%,0.32%,43.4%,44.6%,Aridlands,NA,0.7%,0,1
scaqua,Scaled Quail,Callipepla squamata,44.0%,0.30%,43.4%,44.6%,Aridlands,NA,2.4%,0,1
annhum,Anna's Hummingbird,Calypte anna,44.0%,0.31%,43.4%,44.6%,Aridlands,NA,39.6%,0,1
coshum,Costa's Hummingbird,Calypte costae,44.0%,0.36%,43.3%,44.7%,Aridlands,NA,8.1%,0,1
cacwre,Cactus Wren,Campylorhynchus brunneicapillus,44.0%,0.27%,43.5%,44.5%,Aridlands,NA,0.4%,0,1
sprgro,spruce grouse,Canachites canadensis,44.0%,0.19%,43.6%,44.4%,Forest,NA,42.6%,0,1
y00678,crested caracara,Caracara plancus,44.0%,0.37%,43.3%,44.7%,Aridlands,NA,11.3%,0,1
canwar,Canada Warbler,Cardellina canadensis,44.0%,0.18%,43.6%,44.3%,Forest,Tipping Point,77.3%,1,0
wlswar,Wilson's Warbler,Cardellina pusilla,44.0%,0.06%,43.9%,44.1%,Forest,NA,31.0%,0,1
refwar,Red-faced Warbler,Cardellina rubrifrons,44.0%,1.03%,42.0%,46.0%,Forest,NA,89.4%,1,0
norcar,Northern Cardinal,Cardinalis cardinalis,44.0%,0.07%,43.9%,44.1%,Forest,NA,54.9%,1,0
pyrrhu,Pyrrhuloxia,Cardinalis sinuatus,44.0%,0.33%,43.4%,44.6%,Aridlands,NA,2.8%,0,1
turvul,Turkey Vulture,Cathartes aura,44.0%,0.06%,43.9%,44.1%,Habitat Generalist,NA,45.8%,1,0
veery,Veery,Catharus fuscescens,44.0%,0.16%,43.7%,44.3%,Forest,NA,82.0%,1,0
herthr,Hermit Thrush,Catharus guttatus,43.9%,0.07%,43.8%,44.1%,Forest,NA,65.2%,1,0
gycthr,Gray-cheeked Thrush,Catharus minimus,44.0%,0.13%,43.7%,44.2%,Forest,NA,20.3%,0,1
swathr,Swainson's Thrush,Catharus ustulatus,44.0%,0.09%,43.8%,44.2%,Forest,NA,61.4%,1,0
canwre,Canyon Wren,Catherpes mexicanus,44.0%,0.28%,43.4%,44.5%,Aridlands,NA,27.7%,0,1
saggro,Greater Sage-Grouse,Centrocercus urophasianus,44.0%,0.29%,43.4%,44.6%,Aridlands,Tipping Point,66.8%,1,0
baispa,Baird's Sparrow,Centronyx bairdii,44.0%,0.32%,43.4%,44.6%,Grasslands,Tipping Point,60.3%,1,0
henspa,Henslow's Sparrow,Centronyx henslowii,44.0%,0.30%,43.4%,44.6%,Grasslands,Tipping Point,48.1%,1,0
brncre,Brown Creeper,Certhia americana,44.0%,0.08%,43.8%,44.1%,Forest,NA,75.1%,1,0
chiswi,Chimney Swift,Chaetura pelagica,44.0%,0.34%,43.3%,44.7%,Forest,Tipping Point,56.2%,1,0
vauswi,Vaux's Swift,Chaetura vauxi,44.0%,0.70%,42.6%,45.4%,Forest,NA,62.8%,1,0
wrenti,Wrentit,Chamaea fasciata,44.0%,0.52%,43.0%,45.0%,Aridlands,NA,84.0%,1,0
mouplo,Mountain Plover,Charadrius montanus,44.0%,1.05%,42.0%,46.1%,Grasslands,Tipping Point,14.4%,0,1
semplo,Semipalmated Plover,Charadrius semipalmatus,43.6%,0.80%,42.0%,45.1%,Water/wetland,NA,24.7%,0,1
killde,Killdeer,Charadrius vociferus,44.0%,0.10%,43.8%,44.2%,Habitat Generalist,NA,25.8%,0,1
blkter,Black Tern,Chlidonias niger,43.5%,0.60%,42.3%,44.6%,Water/wetland,NA,31.2%,0,1
larspa,Lark Sparrow,Chondestes grammacus,44.0%,0.09%,43.8%,44.2%,Grasslands,NA,30.3%,0,1
lesnig,Lesser Nighthawk,Chordeiles acutipennis,44.0%,0.25%,43.5%,44.5%,Aridlands,NA,0.9%,0,1
comnig,Common Nighthawk,Chordeiles minor,44.0%,0.08%,43.8%,44.1%,Habitat Generalist,NA,55.3%,1,0
bongul,Bonaparte's Gull,Chroicocephalus philadelphia,43.4%,0.63%,42.1%,44.6%,Water/wetland,NA,44.9%,1,0
amedip,American Dipper,Cinclus mexicanus,44.0%,0.37%,43.3%,44.7%,Water/wetland,NA,87.6%,1,0
norhar2,Northern Harrier,Circus hudsonius,44.0%,0.06%,43.9%,44.1%,Habitat Generalist,NA,29.1%,0,1
marwre,Marsh Wren,Cistothorus palustris,44.0%,0.16%,43.6%,44.3%,Water/wetland,NA,29.4%,0,1
sedwre1,sedge wren,Cistothorus stellaris,44.0%,0.14%,43.7%,44.3%,Grasslands,NA,33.9%,0,1
lotduc,Long-tailed Duck,Clangula hyemalis,38.8%,1.37%,36.1%,41.5%,Water/wetland,NA,13.4%,0,1
evegro,Evening Grosbeak,Coccothraustes vespertinus,44.0%,0.16%,43.7%,44.3%,Forest,Tipping Point,88.2%,1,0
yebcuc,Yellow-billed Cuckoo,Coccyzus americanus,44.0%,0.08%,43.8%,44.2%,Forest,NA,57.8%,1,0
bkbcuc,Black-billed Cuckoo,Coccyzus erythropthalmus,44.0%,0.19%,43.6%,44.4%,Forest,Tipping Point,74.7%,1,0
norfli,Northern Flicker,Colaptes auratus,44.0%,0.03%,43.9%,44.1%,Forest,NA,53.5%,1,0
gilfli,Gilded Flicker,Colaptes chrysoides,44.0%,0.64%,42.8%,45.3%,Aridlands,NA,0.0%,0,1
norbob,Northern Bobwhite,Colinus virginianus,44.0%,0.13%,43.7%,44.3%,Forest,NA,34.7%,0,1
incdov,Inca Dove,Columbina inca,43.9%,1.39%,41.2%,46.7%,Aridlands,NA,10.8%,0,1
cogdov,Common Ground Dove,Columbina passerina,44.0%,0.34%,43.4%,44.7%,Aridlands,NA,27.8%,0,1
olsfly,Olive-sided Flycatcher,Contopus cooperi,44.0%,0.07%,43.9%,44.1%,Forest,Tipping Point,52.5%,1,0
wewpew,Western Wood-Pewee,Contopus sordidulus,44.0%,0.09%,43.8%,44.2%,Forest,NA,51.0%,1,0
eawpew,Eastern Wood-Pewee,Contopus virens,44.0%,0.08%,43.8%,44.2%,Forest,NA,62.0%,1,0
blkvul,Black Vulture,Coragyps atratus,44.0%,0.15%,43.7%,44.3%,Habitat Generalist,NA,56.6%,1,0
ruckin,ruby-crowned kinglet,Corthylio calendula,44.0%,0.04%,43.9%,44.1%,Forest,NA,54.4%,1,0
amecro,American Crow,Corvus brachyrhynchos,44.0%,0.10%,43.8%,44.2%,Habitat Generalist,NA,54.3%,1,0
comrav,Common Raven,Corvus corax,43.9%,0.06%,43.8%,44.0%,Habitat Generalist,NA,34.6%,0,1
chirav,Chihuahuan Raven,Corvus cryptoleucus,44.0%,0.34%,43.3%,44.7%,Aridlands,NA,4.3%,0,1
fiscro,Fish Crow,Corvus ossifragus,43.9%,0.29%,43.4%,44.5%,Habitat Generalist,NA,56.4%,1,0
grbani,Groove-billed Ani,Crotophaga sulcirostris,44.0%,0.84%,42.4%,45.7%,Habitat Generalist,NA,5.5%,0,1
blujay,Blue Jay,Cyanocitta cristata,44.0%,0.07%,43.9%,44.1%,Forest,NA,59.1%,1,0
stejay,Steller's Jay,Cyanocitta stelleri,44.0%,0.19%,43.6%,44.4%,Forest,NA,87.7%,1,0
grnjay,Green Jay,Cyanocorax yncas,44.0%,0.59%,42.9%,45.2%,Aridlands,NA,5.8%,0,1
truswa,Trumpeter Swan,Cygnus buccinator,44.0%,0.24%,43.5%,44.5%,Water/wetland,NA,46.9%,1,0
tunswa,Tundra Swan,Cygnus columbianus,43.9%,0.43%,43.0%,44.7%,Water/wetland,NA,24.0%,0,1
blkswi,Black Swift,Cypseloides niger,44.0%,0.60%,42.8%,45.2%,Forest,Tipping Point,79.7%,1,0
soogro1,Sooty Grouse,Dendragapus fuliginosus,44.0%,0.48%,43.0%,44.9%,Forest,NA,86.7%,1,0
dusgro,Dusky Grouse,Dendragapus obscurus,44.0%,0.28%,43.4%,44.5%,Forest,NA,91.1%,1,0
fuwduc,Fulvous Whistling-Duck,Dendrocygna bicolor,44.0%,0.86%,42.4%,45.7%,Water/wetland,NA,26.0%,0,1
boboli,Bobolink,Dolichonyx oryzivorus,44.0%,0.36%,43.3%,44.7%,Grasslands,Tipping Point,39.3%,0,1
whhwoo,White-headed Woodpecker,Dryobates albolarvatus,44.0%,0.68%,42.7%,45.3%,Forest,NA,95.0%,1,0
recwoo,Red-cockaded Woodpecker,Dryobates borealis,44.0%,1.05%,41.9%,46.0%,Forest,NA,83.0%,1,0
nutwoo,Nuttall's Woodpecker,Dryobates nuttallii,44.0%,0.50%,43.0%,45.0%,Forest,NA,45.1%,1,0
dowwoo,Downy Woodpecker,Dryobates pubescens,44.0%,0.07%,43.9%,44.1%,Forest,NA,62.5%,1,0
labwoo,Ladder-backed Woodpecker,Dryobates scalaris,44.0%,0.18%,43.6%,44.4%,Aridlands,NA,10.1%,0,1
haiwoo,Hairy Woodpecker,Dryobates villosus,44.0%,0.08%,43.9%,44.1%,Forest,NA,75.2%,1,0
pilwoo,Pileated Woodpecker,Dryocopus pileatus,44.0%,0.09%,43.8%,44.2%,Forest,NA,79.8%,1,0
grycat,Gray Catbird,Dumetella carolinensis,44.0%,0.08%,43.8%,44.1%,Forest,NA,54.8%,1,0
libher,Little Blue Heron,Egretta caerulea,44.0%,0.31%,43.4%,44.6%,Water/wetland,NA,43.3%,0,1
snoegr,Snowy Egret,Egretta thula,43.7%,0.63%,42.5%,44.9%,Water/wetland,NA,41.6%,0,1
triher,Tricolored Heron,Egretta tricolor,42.8%,3.14%,36.6%,48.9%,Water/wetland,NA,57.6%,1,0
swtkit,Swallow-tailed Kite,Elanoides forficatus,44.0%,0.73%,42.6%,45.4%,Forest,NA,55.7%,1,0
whtkit,White-tailed Kite,Elanus leucurus,44.0%,0.95%,42.2%,45.9%,Habitat Generalist,NA,18.1%,0,1
aldfly,Alder Flycatcher,Empidonax alnorum,44.0%,0.11%,43.8%,44.2%,Forest,NA,52.6%,1,0
pasfly,Pacific-slope Flycatcher,Empidonax difficilis,44.0%,0.26%,43.4%,44.5%,Forest,NA,69.2%,1,0
yebfly,Yellow-bellied Flycatcher,Empidonax flaviventris,44.0%,0.19%,43.6%,44.4%,Forest,NA,68.2%,1,0
hamfly,Hammond's Flycatcher,Empidonax hammondii,44.0%,0.15%,43.7%,44.3%,Forest,NA,71.7%,1,0
leafly,Least Flycatcher,Empidonax minimus,44.0%,0.09%,43.8%,44.2%,Forest,NA,53.6%,1,0
dusfly,Dusky Flycatcher,Empidonax oberholseri,44.0%,0.12%,43.8%,44.2%,Forest,NA,67.9%,1,0
corfly,Cordilleran Flycatcher,Empidonax occidentalis,44.0%,0.24%,43.5%,44.5%,Forest,NA,78.6%,1,0
wilfly,Willow Flycatcher,Empidonax traillii,44.0%,0.09%,43.8%,44.2%,Forest,NA,39.1%,0,1
acafly,Acadian Flycatcher,Empidonax virescens,44.0%,0.14%,43.7%,44.3%,Forest,NA,77.3%,1,0
gryfly,Gray Flycatcher,Empidonax wrightii,44.0%,0.13%,43.7%,44.3%,Forest,NA,29.7%,0,1
horlar,Horned Lark,Eremophila alpestris,44.0%,0.13%,43.7%,44.3%,Grasslands,NA,26.4%,0,1
whiibi,White Ibis,Eudocimus albus,43.7%,0.54%,42.7%,44.8%,Water/wetland,NA,51.5%,1,0
rusbla,Rusty Blackbird,Euphagus carolinus,44.0%,0.12%,43.8%,44.2%,Forest,NA,42.1%,0,1
brebla,Brewer's Blackbird,Euphagus cyanocephalus,44.0%,0.12%,43.8%,44.2%,Habitat Generalist,NA,27.6%,0,1
merlin,Merlin,Falco columbarius,44.0%,0.06%,43.9%,44.1%,Habitat Generalist,NA,28.3%,0,1
prafal,Prairie Falcon,Falco mexicanus,44.0%,0.09%,43.8%,44.2%,Aridlands,NA,36.1%,0,1
perfal,Peregrine Falcon,Falco peregrinus,43.5%,0.12%,43.2%,43.7%,Habitat Generalist,NA,26.7%,0,1
amekes,American Kestrel,Falco sparverius,44.0%,0.05%,43.9%,44.1%,Habitat Generalist,NA,37.4%,0,1
y00475,American Coot,Fulica americana,44.0%,0.39%,43.2%,44.7%,Water/wetland,NA,36.7%,0,1
wilsni1,Wilson's Snipe,Gallinago delicata,44.0%,0.10%,43.8%,44.2%,Water/wetland,NA,26.4%,0,1
comgal1,Common Gallinule,Gallinula galeata,44.0%,0.64%,42.8%,45.3%,Water/wetland,NA,55.8%,1,0
yebloo,Yellow-billed Loon,Gavia adamsii,42.6%,0.40%,41.8%,43.4%,Water/wetland,Tipping Point,0.6%,0,1
comloo,Common Loon,Gavia immer,43.3%,0.42%,42.4%,44.1%,Water/wetland,NA,51.4%,1,0
retloo,Red-throated Loon,Gavia stellata,41.6%,0.85%,40.0%,43.3%,Water/wetland,NA,13.4%,0,1
greroa,Greater Roadrunner,Geococcyx californianus,44.0%,0.21%,43.6%,44.4%,Aridlands,NA,11.0%,0,1
kenwar,Kentucky Warbler,Geothlypis formosa,44.0%,0.17%,43.7%,44.3%,Forest,NA,82.1%,1,0
mouwar,Mourning Warbler,Geothlypis philadelphia,44.0%,0.23%,43.5%,44.4%,Forest,Tipping Point,80.1%,1,0
macwar,MacGillivray's Warbler,Geothlypis tolmiei,44.0%,0.10%,43.8%,44.2%,Forest,NA,55.8%,1,0
comyel,Common Yellowthroat,Geothlypis trichas,44.0%,0.06%,43.9%,44.1%,Habitat Generalist,NA,49.8%,1,0
nopowl,Northern Pygmy-Owl,Glaucidium gnoma,44.0%,0.25%,43.5%,44.5%,Forest,NA,92.6%,1,0
pinjay,Pinyon Jay,Gymnorhinus cyanocephalus,44.0%,0.28%,43.4%,44.5%,Forest,Tipping Point,12.7%,0,1
casfin,Cassin's Finch,Haemorhous cassinii,44.0%,0.15%,43.7%,44.3%,Forest,NA,73.2%,1,0
houfin,House Finch,Haemorhous mexicanus,44.0%,0.15%,43.7%,44.3%,Habitat Generalist,NA,13.7%,0,1
purfin,Purple Finch,Haemorhous purpureus,44.0%,0.09%,43.8%,44.2%,Forest,NA,68.5%,1,0
baleag,Bald Eagle,Haliaeetus leucocephalus,43.6%,0.14%,43.3%,43.8%,Water/wetland,NA,40.7%,0,1
woewar1,Worm-eating Warbler,Helmitheros vermivorum,44.0%,0.23%,43.5%,44.4%,Forest,NA,87.7%,1,0
bknsti,Black-necked Stilt,Himantopus mexicanus,43.9%,1.05%,41.9%,46.0%,Water/wetland,NA,12.4%,0,1
barswa,Barn Swallow,Hirundo rustica,44.0%,0.55%,42.9%,45.1%,Habitat Generalist,NA,32.7%,0,1
harduc,Harlequin Duck,Histrionicus histrionicus,37.4%,0.61%,36.2%,38.5%,Water/wetland,NA,11.2%,0,1
caster1,Caspian Tern,Hydroprogne caspia,41.4%,1.31%,38.8%,43.9%,Water/wetland,NA,35.5%,0,1
woothr,Wood Thrush,Hylocichla mustelina,44.0%,0.12%,43.8%,44.2%,Forest,Tipping Point,75.3%,1,0
yebcha,Yellow-breasted Chat,Icteria virens,44.0%,0.10%,43.8%,44.2%,Forest,NA,53.4%,1,0
bulori,Bullock's Oriole,Icterus bullockii,44.0%,0.11%,43.8%,44.2%,Forest,NA,25.0%,0,1
hooori,Hooded Oriole,Icterus cucullatus,44.0%,0.33%,43.3%,44.6%,Aridlands,NA,7.0%,0,1
balori,Baltimore Oriole,Icterus galbula,44.0%,0.09%,43.8%,44.2%,Forest,NA,42.8%,0,1
scoori,Scott's Oriole,Icterus parisorum,44.0%,0.25%,43.5%,44.5%,Forest,NA,5.3%,0,1
orcori,Orchard Oriole,Icterus spurius,44.0%,0.09%,43.8%,44.1%,Forest,NA,49.3%,1,0
miskit,Mississippi Kite,Ictinia mississippiensis,44.0%,0.16%,43.7%,44.3%,Forest,NA,40.0%,0,1
leabit,Least Bittern,Ixobrychus exilis,43.8%,0.47%,42.9%,44.7%,Water/wetland,NA,54.4%,1,0
varthr,Varied Thrush,Ixoreus naevius,43.9%,0.17%,43.6%,44.2%,Forest,NA,63.7%,1,0
daejun,Dark-eyed Junco,Junco hyemalis,44.0%,0.04%,43.9%,44.1%,Forest,NA,52.1%,1,0
wilpta,Willow Ptarmigan,Lagopus lagopus,43.9%,0.18%,43.6%,44.3%,Water/wetland,NA,5.3%,0,1
norshr4,Northern Shrike,Lanius borealis,44.0%,0.08%,43.8%,44.1%,Water/wetland,NA,32.1%,0,1
logshr,Loggerhead Shrike,Lanius ludovicianus,44.0%,0.09%,43.8%,44.2%,Grasslands,NA,23.6%,0,1
hergul,Herring Gull,Larus argentatus,43.3%,0.90%,41.5%,45.0%,Water/wetland,NA,60.6%,1,0
calgul,California Gull,Larus californicus,44.1%,4.65%,34.9%,53.2%,Water/wetland,NA,18.5%,0,1
mewgul,Common Gull,Larus canus,39.4%,2.21%,35.0%,43.7%,Water/wetland,NA,0.0%,0,1
ribgul,Ring-billed Gull,Larus delawarensis,43.9%,0.43%,43.0%,44.7%,Water/wetland,NA,35.7%,0,1
gbbgul,Great Black-backed Gull,Larus marinus,39.7%,1.66%,36.4%,42.9%,Water/wetland,Tipping Point,18.9%,0,1
orcwar,orange-crowned warbler,Leiothlypis celata,44.0%,0.05%,43.9%,44.1%,Forest,NA,40.7%,0,1
lucwar,lucy's warbler,Leiothlypis luciae,44.0%,0.35%,43.3%,44.7%,Aridlands,NA,1.8%,0,1
tenwar,tennessee warbler,Leiothlypis peregrina,44.0%,0.09%,43.8%,44.2%,Forest,NA,61.3%,1,0
naswar,nashville warbler,Leiothlypis ruficapilla,44.0%,0.09%,43.8%,44.2%,Forest,NA,58.1%,1,0
virwar,virginia's warbler,Leiothlypis virginiae,44.0%,0.21%,43.6%,44.4%,Forest,NA,39.4%,0,1
fragul,Franklin's Gull,Leucophaeus pipixcan,44.0%,0.91%,42.2%,45.8%,Water/wetland,NA,49.4%,1,0
shbdow,Short-billed Dowitcher,Limnodromus griseus,43.3%,1.86%,39.7%,47.0%,Water/wetland,Tipping Point,33.8%,0,1
lobdow,Long-billed Dowitcher,Limnodromus scolopaceus,43.9%,0.47%,43.0%,44.8%,Water/wetland,Tipping Point,17.3%,0,1
swawar,Swainson's Warbler,Limnothlypis swainsonii,44.0%,0.23%,43.5%,44.5%,Forest,NA,76.7%,1,0
margod,Marbled Godwit,Limosa fedoa,43.8%,1.83%,40.2%,47.4%,Water/wetland,NA,27.1%,0,1
hudgod,Hudsonian Godwit,Limosa haemastica,44.0%,0.38%,43.3%,44.7%,Water/wetland,Tipping Point,19.6%,0,1
hoomer,Hooded Merganser,Lophodytes cucullatus,44.0%,0.23%,43.5%,44.4%,Water/wetland,NA,56.4%,1,0
redcro,Red Crossbill,Loxia curvirostra,43.9%,0.14%,43.6%,44.2%,Forest,NA,85.6%,1,0
whwcro,White-winged Crossbill,Loxia leucoptera,43.9%,0.15%,43.6%,44.2%,Forest,NA,25.9%,0,1
amewig,American Wigeon,Mareca americana,44.0%,0.38%,43.2%,44.7%,Water/wetland,NA,27.2%,0,1
gadwal,Gadwall,Mareca strepera,44.0%,0.20%,43.6%,44.4%,Water/wetland,NA,33.2%,0,1
belkin1,Belted Kingfisher,Megaceryle alcyon,44.0%,0.06%,43.8%,44.1%,Water/wetland,NA,58.6%,1,0
easowl1,Eastern Screech-Owl,Megascops asio,44.0%,0.11%,43.8%,44.2%,Forest,NA,65.2%,1,0
wesowl1,Western Screech-Owl,Megascops kennicottii,44.0%,0.32%,43.4%,44.6%,Forest,NA,35.6%,0,1
gofwoo,Golden-fronted Woodpecker,Melanerpes aurifrons,44.0%,0.35%,43.3%,44.7%,Aridlands,NA,9.4%,0,1
rebwoo,Red-bellied Woodpecker,Melanerpes carolinus,44.0%,0.08%,43.8%,44.2%,Forest,NA,62.3%,1,0
rehwoo,Red-headed Woodpecker,Melanerpes erythrocephalus,44.0%,0.09%,43.8%,44.2%,Forest,Tipping Point,51.6%,1,0
acowoo,Acorn Woodpecker,Melanerpes formicivorus,44.0%,0.48%,43.1%,44.9%,Forest,NA,67.8%,1,0
lewwoo,Lewis's Woodpecker,Melanerpes lewis,44.0%,0.28%,43.5%,44.6%,Forest,NA,61.8%,1,0
gilwoo,Gila Woodpecker,Melanerpes uropygialis,44.0%,0.53%,43.0%,45.1%,Aridlands,NA,0.5%,0,1
blksco2,Black Scoter,Melanitta americana,38.1%,0.75%,36.7%,39.6%,Water/wetland,Tipping Point,5.3%,0,1
whwsco2,white-winged scoter,Melanitta deglandi,40.3%,0.93%,38.5%,42.2%,Water/wetland,NA,16.2%,0,1
sursco,Surf Scoter,Melanitta perspicillata,39.0%,0.96%,37.1%,40.8%,Water/wetland,NA,20.6%,0,1
wiltur,Wild Turkey,Meleagris gallopavo,44.0%,0.09%,43.8%,44.2%,Forest,NA,58.1%,1,0
swaspa,Swamp Sparrow,Melospiza georgiana,44.0%,0.09%,43.8%,44.2%,Water/wetland,NA,49.4%,1,0
linspa,Lincoln's Sparrow,Melospiza lincolnii,44.0%,0.05%,43.9%,44.1%,Forest,NA,37.7%,0,1
sonspa,Song Sparrow,Melospiza melodia,44.0%,0.05%,43.9%,44.1%,Habitat Generalist,NA,50.6%,1,0
abetow,Abert's Towhee,Melozone aberti,44.0%,0.91%,42.2%,45.8%,Aridlands,NA,2.4%,0,1
caltow,California Towhee,Melozone crissalis,44.0%,0.51%,43.0%,45.0%,Aridlands,NA,53.6%,1,0
cantow,Canyon Towhee,Melozone fusca,44.0%,0.33%,43.4%,44.6%,Aridlands,NA,3.2%,0,1
commer,Common Merganser,Mergus merganser,44.0%,0.85%,42.3%,45.6%,Water/wetland,NA,58.7%,1,0
rebmer,Red-breasted Merganser,Mergus serrator,43.1%,1.50%,40.2%,46.1%,Water/wetland,NA,30.4%,0,1
normoc,Northern Mockingbird,Mimus polyglottos,44.0%,0.08%,43.8%,44.2%,Habitat Generalist,NA,31.7%,0,1
bawwar,Black-and-white Warbler,Mniotilta varia,44.0%,0.09%,43.8%,44.2%,Forest,NA,73.3%,1,0
brocow,Bronzed Cowbird,Molothrus aeneus,44.0%,0.67%,42.7%,45.4%,Aridlands,NA,4.7%,0,1
bnhcow,Brown-headed Cowbird,Molothrus ater,44.0%,0.26%,43.5%,44.5%,Habitat Generalist,NA,31.7%,0,1
towsol,Townsend's Solitaire,Myadestes townsendi,44.0%,0.11%,43.8%,44.2%,Forest,NA,68.3%,1,0
woosto,Wood Stork,Mycteria americana,44.0%,0.58%,42.9%,45.2%,Water/wetland,NA,47.8%,1,0
astfly,Ash-throated Flycatcher,Myiarchus cinerascens,44.0%,0.12%,43.8%,44.2%,Aridlands,NA,13.3%,0,1
grcfly,Great Crested Flycatcher,Myiarchus crinitus,44.0%,0.08%,43.8%,44.2%,Forest,NA,60.1%,1,0
bncfly,Brown-crested Flycatcher,Myiarchus tyrannulus,44.0%,0.32%,43.4%,44.6%,Aridlands,NA,4.9%,0,1
doccor,double-crested cormorant,Nannopterum auritum,43.4%,0.78%,41.9%,44.9%,Water/wetland,NA,40.0%,0,1
clanut,Clark's Nutcracker,Nucifraga columbiana,44.0%,0.21%,43.6%,44.4%,Forest,NA,84.5%,1,0
lobcur,Long-billed Curlew,Numenius americanus,44.0%,0.44%,43.1%,44.9%,Grasslands,NA,15.7%,0,1
whimbr,Whimbrel,Numenius phaeopus,43.8%,0.60%,42.6%,45.0%,Water/wetland,Tipping Point,11.7%,0,1
bcnher,Black-crowned Night-Heron,Nycticorax nycticorax,43.9%,0.30%,43.3%,44.5%,Water/wetland,NA,27.9%,0,1
conwar,Connecticut Warbler,Oporornis agilis,44.0%,0.52%,43.0%,45.0%,Forest,NA,80.2%,1,0
mouqua,Mountain Quail,Oreortyx pictus,44.0%,0.43%,43.2%,44.8%,Forest,NA,91.5%,1,0
sagthr,Sage Thrasher,Oreoscoptes montanus,44.0%,0.14%,43.7%,44.3%,Aridlands,NA,28.6%,0,1
rudduc,Ruddy Duck,Oxyura jamaicensis,44.0%,0.48%,43.0%,44.9%,Water/wetland,NA,35.6%,0,1
osprey,Osprey,Pandion haliaetus,43.6%,0.21%,43.2%,44.1%,Water/wetland,NA,52.9%,1,0
hrshaw,Harris's Hawk,Parabuteo unicinctus,44.0%,0.55%,42.9%,45.1%,Aridlands,NA,3.1%,0,1
louwat,Louisiana Waterthrush,Parkesia motacilla,44.0%,0.15%,43.7%,44.3%,Forest,NA,83.0%,1,0
norwat,Northern Waterthrush,Parkesia noveboracensis,44.0%,0.09%,43.8%,44.2%,Forest,NA,41.8%,0,1
