species_code,common_name,scientific_name,avg,stdev,lower95,upper95,habitat,tipping_pt,sum_carbon,over_upper95,under_lower95
herwar,Hermit Warbler,Setophaga occidentalis,44.0%,0.34%,43.3%,44.7%,Forest,NA,83.9%,1,0
palwar,Palm Warbler,Setophaga palmarum,44.0%,0.15%,43.7%,44.3%,Forest,NA,55.3%,1,0
chswar,Chestnut-sided Warbler,Setophaga pensylvanica,44.0%,0.13%,43.7%,44.2%,Forest,NA,78.3%,1,0
yelwar,Yellow Warbler,Setophaga petechia,44.0%,0.05%,43.9%,44.1%,Forest,NA,42.1%,0,1
pinwar,Pine Warbler,Setophaga pinus,44.0%,0.13%,43.7%,44.2%,Forest,NA,72.3%,1,0
amered,American Redstart,Setophaga ruticilla,44.0%,0.08%,43.8%,44.1%,Forest,NA,62.5%,1,0
bkpwar,Blackpoll Warbler,Setophaga striata,44.0%,0.09%,43.8%,44.2%,Forest,NA,45.2%,1,0
camwar,Cape May Warbler,Setophaga tigrina,44.0%,0.15%,43.7%,44.3%,Forest,NA,76.1%,1,0
towwar,Townsend's Warbler,Setophaga townsendi,44.0%,0.17%,43.6%,44.3%,Forest,NA,66.4%,1,0
btnwar,Black-throated Green Warbler,Setophaga virens,44.0%,0.13%,43.7%,44.2%,Forest,NA,77.2%,1,0
moublu,Mountain Bluebird,Sialia currucoides,44.0%,0.10%,43.8%,44.2%,Forest,NA,34.1%,0,1
wesblu,Western Bluebird,Sialia mexicana,44.0%,0.18%,43.6%,44.3%,Forest,NA,39.1%,0,1
easblu,Eastern Bluebird,Sialia sialis,44.0%,0.08%,43.9%,44.1%,Forest,NA,61.2%,1,0
rebnut,Red-breasted Nuthatch,Sitta canadensis,44.0%,0.10%,43.8%,44.2%,Forest,NA,82.6%,1,0
whbnut,White-breasted Nuthatch,Sitta carolinensis,44.0%,0.10%,43.8%,44.2%,Forest,NA,68.5%,1,0
bnhnut,Brown-headed Nuthatch,Sitta pusilla,44.0%,0.25%,43.5%,44.5%,Forest,NA,67.2%,1,0
pygnut,Pygmy Nuthatch,Sitta pygmaea,44.0%,0.43%,43.1%,44.8%,Forest,NA,79.9%,1,0
