species,avg,stdev
abetow,0.09922291476897954,0.005709912388779654
acafly,0.1000578361350389,8.741321421518126e-4
acowoo,0.0997093735949524,0.0028403211444957307
aldfly,0.10001973913134073,8.598372842842347e-4
allhum,0.10049086095436544,0.007140590871636679
ambduc,0.1001776691834296,0.00607682851444415
ameavo,0.1002753195261363,0.00913600320719714
amebit,0.10000871048013987,8.669726257176391e-4
amecro,0.09995627260488185,5.903828263897192e-4
amedip,0.10009537331294936,0.001980653392982094
amegfi,0.09998070739989127,2.8013373322895656e-4
amekes,0.09997056327699058,3.730038073475261e-4
amepip,0.10005166478230412,7.12741869028878e-4
amered,0.09996281445015173,4.822426774490122e-4
amerob,0.0998428789831832,8.227733991520959e-4
amewig,0.09992049131829378,0.0023812803187715443
amewoo,0.10000457802897954,6.71404125878743e-4
amgplo,0.09983136108191287,0.002411433954697455
amtspa,0.0999744728378365,5.719535958734441e-4
amwpel,0.10057287783389122,0.003801691529629302
anhing,0.10047714074035852,0.0020988123104477407
annhum,0.09977150509049004,0.0018551674849427537
arcter,0.12010384043931197,0.15361443187029136
arcwar1,0,0
astfly,0.0999544797140232,7.786538176411581e-4
attwoo1,0.10012922333159907,0.0015273045011134465
babwar,0.09995004545638636,7.17698624759958e-4
bacspa,0.09986543994859104,0.0044030721289748
baisan,0.1001980922248331,0.0010561091504915146
baispa,0.09952222973721334,0.0018051265941578516
baleag,0.10012464592188915,8.344778090497723e-4
balori,0.09995882877634372,6.016632322627623e-4
banswa,0.09997813243725909,0.0026167216671913068
bargol,0.1001290729418617,0.004165622371684466
barswa,0.099635948605974,0.002737990909081619
batpig1,0.09974562080323522,0.002246718040811752
bawwar,0.09995673890933543,5.418117208850282e-4
bcnher,0.10022062202589986,0.0017450615369593776
belkin1,0.09999488194752267,3.6804564552596954e-4
belspa2,0.10027849106681287,0.003473135514212335
belvir,0.09993648501126076,0.0010128470102388908
benthr,0.09985854300483112,0.0035124164635391883
bewwre,0.09996183558912083,7.81194133374531e-4
bkbcuc,0.10013564422503865,0.0010175403415489646
bkbmag1,0.10000628899534908,8.576185257709712e-4
bkbplo,0.10003354771527614,0.0066320875962916455
bkbwar,0.10000298793474548,8.364143079733109e-4
bkbwoo,0.09986888978169944,0.0027438946475921385
bkcchi,0.09998512593774239,7.924723931258359e-4
bkchum,0.10001368865910823,9.93681092347113e-4
bkcspa,0.100259458006773,0.0025242918672450307
bkhgro,0.10000912222683367,6.583168295956325e-4
bknsti,0.10036069892196528,0.006499648408588989
bkpwar,0.09992882254679117,6.690290588820591e-4
bktgna,0.09976658060034978,0.0023988091439828252
bktspa,0.0998605042174647,0.0011707383185029963
bkwvir,0.10043306794902492,0.02789755108902234
