species,avg,stdev,lower95,upper95
abetow,0.43989310728428244,0.009022094655106382,0.42220980176027395,0.4575764128082909
acafly,0.43996993822533603,0.0013748693601916412,0.4372751942793604,0.44266468217131166
acowoo,0.439781009121129,0.0045506466449936785,0.43086174169694136,0.44870027654531663
aldfly,0.4400058109306999,0.0014176248833712032,0.43722726615929236,0.44278435570210745
allhum,0.43984318133690176,0.010730885007246416,0.4188106467226988,0.4608757159511047
ambduc,0.43965408878522155,0.009089803603626595,0.4218380737221134,0.4574701038483297
ameavo,0.4395439047757636,0.01609606138704942,0.40799562445714677,0.47109218509438044
amebit,0.43997275672737673,0.0016979196699920128,0.43664483417419236,0.4433006792805611
amecro,0.44005804668334303,0.001115975446193637,0.4378707348088035,0.44224535855788255
amedip,0.43999566840505205,0.003643922300117016,0.4328535806968227,0.4471377561132814
amegfi,0.44000443854903787,4.840453508979277e-4,0.43905570966127794,0.4409531674367978
amekes,0.4399976799490991,5.500369180838976e-4,0.43891960758965465,0.44107575230854357
amepip,0.4400098507844817,0.0011388960656590898,0.4377776144957899,0.4422420870731735
amered,0.4399929834402053,7.790347733885645e-4,0.4384660752843637,0.44151989159604693
amerob,0.44004195771485743,0.0015629368640274212,0.4369786014613637,0.4431053139683512
amewig,0.4398595718416425,0.004149312753557905,0.43172691884466896,0.447992224838616
amewoo,0.4399828574975211,0.001066884458452421,0.43789176395895435,0.4420739510360878
amgplo,0.4400960066441222,0.0043916387380204605,0.4314883947176021,0.4487036185706423
amtspa,0.43996157093806165,9.553455031815608e-4,0.4380890937518258,0.4418340481242975
amwpel,0.4400301981938765,0.005795517072116669,0.42867098473252785,0.45138941165522517
anhing,0.43996847147627144,0.0034718104962338124,0.4331637229036532,0.4467732200488897
annhum,0.4399147308920189,0.0029905479874531974,0.4340532568366106,0.44577620494742715
arcter,0.44641646813759334,0.21446039650250168,0.026074090992690035,0.8667588452824966
arcwar1,0,0,0,0
astfly,0.439981399606036,0.0011929579247889587,0.43764320207344964,0.44231959713862234
attwoo1,0.44008652039307794,0.0024655574616727427,0.4352540277681994,0.4449190130179565
babwar,0.43997471737874977,0.0012768098926807879,0.43747216998909544,0.4424772647684041
bacspa,0.4401680969021033,0.006847032122287261,0.42674791394242023,0.45358827986178635
baisan,0.4399277934168006,0.0021946892659892693,0.43562620245546163,0.4442293843781396
baispa,0.43997674142809184,0.0030963903551436524,0.4339078163320103,0.4460456665241734
