species,avg,stdev
abetow,0.43989310728428244,0.00902209465510638
acafly,0.43996993822533603,0.0013748693601916405
acowoo,0.439781009121129,0.004550646644993677
aldfly,0.4400058109306999,0.0014176248833712025
allhum,0.43984318133690176,0.010730885007246416
ambduc,0.43965408878522155,0.009089803603626595
ameavo,0.4395439047757636,0.01609606138704942
amebit,0.43997275672737673,0.0016979196699920113
amecro,0.44005804668334303,0.0011159754461936362
amedip,0.43999566840505205,0.003643922300117016
amegfi,0.44000443854903787,4.8404535089792807e-4
amekes,0.4399976799490991,5.500369180838979e-4
amepip,0.4400098507844817,0.00113889606565909
amered,0.4399929834402053,7.790347733885644e-4
amerob,0.44004195771485743,0.0015629368640274223
amewig,0.4398595718416425,0.004149312753557904
amewoo,0.4399828574975211,0.0010668844584524207
amgplo,0.4400960066441222,0.0043916387380204605
amtspa,0.43996157093806165,9.553455031815615e-4
amwpel,0.4400301981938765,0.0057955170721166694
anhing,0.43996847147627144,0.0034718104962338124
annhum,0.4399147308920189,0.0029905479874531974
arcter,0.44641646813759334,0.21446039650250168
arcwar1,0,0
astfly,0.439981399606036,0.0011929579247889602
attwoo1,0.44008652039307794,0.0024655574616727445
babwar,0.43997471737874977,0.001276809892680787
bacspa,0.4401680969021033,0.006847032122287261
baisan,0.4399277934168006,0.0021946892659892698
baispa,0.43997674142809184,0.003096390355143653
baleag,0.4400252177149051,0.0013220193595709982
balori,0.4399924824697977,8.87849528478182e-4
banswa,0.43999582907972007,0.004449134112198337
bargol,0.44025753709366716,0.00618698591947567
barswa,0.44000936095267135,0.005807604254313422
batpig1,0.43991077858670335,0.003399473920261359
bawwar,0.4399812967531052,9.176538399766387e-4
bcnher,0.43995484976621385,0.0029061443467790346
belkin1,0.4400045177713906,6.657030905928588e-4
belspa2,0.4399137324682582,0.005033040522848314
belvir,0.4399942266477153,0.0015570608563817145
benthr,0.4403732031660494,0.005334425548112359
bewwre,0.43995467712726455,0.0012170483701333154
bkbcuc,0.4400079881266453,0.0019135503355758618
bkbmag1,0.44002315738961667,0.0014069275171776114
bkbplo,0.4397503355143251,0.012139855126133718
bkbwar,0.44000796271039444,0.0013802634044912479
bkbwoo,0.4400808776003177,0.004274576332427333
bkcchi,0.4400094222608849,0.0011745561807545973
bkchum,0.44009791210667343,0.00177951841332512
bkcspa,0.43976515439803104,0.004505379690479731
bkhgro,0.4400196263983751,0.0011130399745886267
bknsti,0.4396687008742784,0.010775090662962639
bkpwar,0.43999025452627855,0.001067582076337266
bktgna,0.44017898028329067,0.003410178217531461
