species_code,sum
amecro,0.5315554090056187
amekes,0.38725048326131795
banswa,0.24937490481207064
barswa,0.38675841584258386
bkbmag1,0.2576421495478273
blkvul,0.7067791740560352
bnhcow,0.3725729290834421
brebla,0.3367440571662535
brnowl,0.3610061842559543
buggna,0.6140610232922095
cliswa,0.3661460447314473
comgra,0.347332587374427
comnig,0.467869910794494
comrav,0.2367356904754944
comyel,0.4472188905481409
fiscro,0.5887192144839739
goleag,0.30650559582947523
grbani,0.16843539973924493
grhowl,0.36741009816019954
grtgra,0.30698559442902207
houfin,0.35280241392061384
killde,0.27200408508379814
merlin,0.3467359968591026
moudov,0.42425355865452374
norhar2,0.32304144462802453
normoc,0.5058686251927283
nrwswa,0.38638481121058366
perfal,0.29430168167458737
purmar,0.37890582668902095
rethaw,0.39889218432509566
rewbla,0.3064663870144946
saypho,0.31997322834472985
sheowl,0.25421668090678473
sonspa,0.4791094492343224
treswa,0.34570081931608776
turvul,0.5427318356788966
whcspa,0.3345558106372837
whtkit,0.3193721782978969
