species_code,common_name,scientific_name,habitat,tipping_pt,avg_37pct,stdev_37pct,lower95_37pct,upper95_37pct,sum_cna,over_upper95_37pct,under_lower95_37pct,avg_44pct,stdev_44pct,lower95_44pct,upper95_44pct,sum_carbon,over_upper95_44pct,under_lower95_44pct
belkin1,Belted Kingfisher,Megaceryle alcyon,Water/wetland,NA,0.37000,0.00060,0.36800,0.37100,0.51800,1.00000,0.00000,0.44000,0.00060,0.43800,0.44100,0.58600,1.00000,0.00000
belspa2,Bell's Sparrow,Artemisiospiza belli,Aridlands,NA,0.37000,0.00480,0.36100,0.38000,0.18700,0.00000,1.00000,0.44000,0.00530,0.43000,0.45000,0.09200,0.00000,1.00000
belvir,Bell's Vireo,Vireo bellii,Aridlands,NA,0.37000,0.00150,0.36700,0.37300,0.54100,1.00000,0.00000,0.44000,0.00160,0.43700,0.44300,0.26300,0.00000,1.00000
benthr,Bendire's Thrasher,Toxostoma bendirei,Aridlands,Tipping Point,0.37000,0.00540,0.36000,0.38100,0.20400,0.00000,1.00000,0.44000,0.00550,0.42900,0.45100,0.00100,0.00000,1.00000
bewwre,Bewick's Wren,Thryomanes bewickii,Aridlands,NA,0.37000,0.00110,0.36800,0.37200,0.43400,1.00000,0.00000,0.44000,0.00130,0.43800,0.44200,0.22400,0.00000,1.00000
bkbcuc,Black-billed Cuckoo,Coccyzus erythropthalmus,Forest,Tipping Point,0.37000,0.00190,0.36600,0.37400,0.54600,1.00000,0.00000,0.44000,0.00190,0.43600,0.44400,0.74700,1.00000,0.00000
bkbmag1,Black-billed Magpie,Pica hudsonia,Habitat Generalist,NA,0.37000,0.00140,0.36700,0.37200,0.25800,0.00000,1.00000,0.44000,0.00140,0.43700,0.44300,0.50300,1.00000,0.00000
bkbplo,Black-bellied Plover,Pluvialis squatarola,Water/wetland,NA,0.36500,0.01060,0.34400,0.38600,0.22200,0.00000,1.00000,0.43300,0.01070,0.41200,0.45400,0.16600,0.00000,1.00000
bkbwar,Blackburnian Warbler,Setophaga fusca,Forest,NA,0.37000,0.00140,0.36700,0.37300,0.63300,1.00000,0.00000,0.44000,0.00140,0.43700,0.44300,0.76800,1.00000,0.00000
bkbwoo,Black-backed Woodpecker,Picoides arcticus,Forest,NA,0.37000,0.00430,0.36200,0.37800,0.44000,1.00000,0.00000,0.44000,0.00430,0.43200,0.44900,0.98400,1.00000,0.00000
bkcchi,Black-capped Chickadee,Poecile atricapillus,Forest,NA,0.37000,0.00120,0.36800,0.37200,0.54000,1.00000,0.00000,0.44000,0.00120,0.43800,0.44200,0.72200,1.00000,0.00000
bkchum,Black-chinned Hummingbird,Archilochus alexandri,Forest,NA,0.37000,0.00170,0.36700,0.37300,0.45000,1.00000,0.00000,0.44000,0.00180,0.43600,0.44300,0.14200,0.00000,1.00000
bkcspa,Black-chinned Sparrow,Spizella atrogularis,Aridlands,Tipping Point,0.37000,0.00420,0.36200,0.37800,0.41300,1.00000,0.00000,0.44000,0.00440,0.43200,0.44900,0.26400,0.00000,1.00000
bkhgro,Black-headed Grosbeak,Pheucticus melanocephalus,Forest,NA,0.37000,0.00110,0.36800,0.37200,0.42700,1.00000,0.00000,0.44000,0.00120,0.43800,0.44200,0.53500,1.00000,0.00000
bknsti,Black-necked Stilt,Himantopus mexicanus,Water/wetland,NA,0.37000,0.00990,0.35100,0.39000,0.15300,0.00000,1.00000,0.43900,0.01050,0.41900,0.46000,0.12400,0.00000,1.00000
bkpwar,Blackpoll Warbler,Setophaga striata,Forest,NA,0.37000,0.00080,0.36800,0.37200,0.35300,0.00000,1.00000,0.44000,0.00090,0.43800,0.44200,0.45200,1.00000,0.00000
bktgna,Black-tailed Gnatcatcher,Polioptila melanura,Aridlands,NA,0.37000,0.00340,0.36400,0.37700,0.22600,0.00000,1.00000,0.44000,0.00350,0.43300,0.44700,0.00300,0.00000,1.00000
bktspa,Black-throated Sparrow,Amphispiza bilineata,Aridlands,NA,0.37000,0.00160,0.36700,0.37300,0.23000,0.00000,1.00000,0.44000,0.00170,0.43700,0.44300,0.02100,0.00000,1.00000
bkwvir,Black-whiskered Vireo,Vireo altiloquus,Forest,NA,0.37100,0.04800,0.27700,0.46500,0.16500,0.00000,1.00000,0.43800,0.04900,0.34200,0.53400,0.55000,1.00000,0.00000
blctit4,Black-crested Titmouse,Baeolophus atricristatus,Aridlands,NA,0.37000,0.00340,0.36300,0.37700,0.63200,1.00000,0.00000,0.44000,0.00360,0.43300,0.44700,0.25400,0.00000,1.00000
blkpho,Black Phoebe,Sayornis nigricans,Water/wetland,NA,0.37000,0.00230,0.36500,0.37400,0.38600,1.00000,0.00000,0.44000,0.00250,0.43500,0.44500,0.17400,0.00000,1.00000
blksco2,Black Scoter,Melanitta americana,Water/wetland,Tipping Point,0.32000,0.00720,0.30600,0.33400,0.54700,1.00000,0.00000,0.38100,0.00750,0.36700,0.39600,0.05300,0.00000,1.00000
blkswi,Black Swift,Cypseloides niger,Forest,Tipping Point,0.37000,0.00590,0.35800,0.38100,0.38700,1.00000,0.00000,0.44000,0.00600,0.42800,0.45200,0.79700,1.00000,0.00000
blkter,Black Tern,Chlidonias niger,Water/wetland,NA,0.36600,0.00570,0.35500,0.37700,0.37600,0.00000,0.00000,0.43500,0.00600,0.42300,0.44600,0.31200,0.00000,1.00000
blkvul,Black Vulture,Coragyps atratus,Habitat Generalist,NA,0.37000,0.00150,0.36700,0.37300,0.70700,1.00000,0.00000,0.44000,0.00150,0.43700,0.44300,0.56600,1.00000,0.00000
blugrb1,Blue Grosbeak,Passerina caerulea,Forest,NA,0.37000,0.00080,0.36800,0.37200,0.51300,1.00000,0.00000,0.44000,0.00080,0.43800,0.44200,0.37700,0.00000,1.00000
blujay,Blue Jay,Cyanocitta cristata,Forest,NA,0.37000,0.00060,0.36900,0.37100,0.57900,1.00000,0.00000,0.44000,0.00070,0.43900,0.44100,0.59100,1.00000,0.00000
bncfly,Brown-crested Flycatcher,Myiarchus tyrannulus,Aridlands,NA,0.37000,0.00310,0.36400,0.37600,0.32600,0.00000,1.00000,0.44000,0.00320,0.43400,0.44600,0.04900,0.00000,1.00000
bnhcow,Brown-headed Cowbird,Molothrus ater,Habitat Generalist,NA,0.37000,0.00250,0.36500,0.37500,0.37200,0.00000,0.00000,0.44000,0.00260,0.43500,0.44500,0.31700,0.00000,1.00000
bnhnut,Brown-headed Nuthatch,Sitta pusilla,Forest,NA,0.37000,0.00240,0.36500,0.37500,0.75600,1.00000,0.00000,0.44000,0.00250,0.43500,0.44500,0.67200,1.00000,0.00000
boboli,Bobolink,Dolichonyx oryzivorus,Grasslands,Tipping Point,0.37000,0.00370,0.36300,0.37700,0.34800,0.00000,1.00000,0.44000,0.00360,0.43300,0.44700,0.39300,0.00000,1.00000
bohwax,Bohemian Waxwing,Bombycilla garrulus,Forest,NA,0.37000,0.00310,0.36400,0.37600,0.20300,0.00000,1.00000,0.44000,0.00300,0.43400,0.44600,0.66200,1.00000,0.00000
bongul,Bonaparte's Gull,Chroicocephalus philadelphia,Water/wetland,NA,0.36500,0.00630,0.35300,0.37700,0.40200,1.00000,0.00000,0.43400,0.00630,0.42100,0.44600,0.44900,1.00000,0.00000
borchi2,Boreal Chickadee,Poecile hudsonicus,Forest,NA,0.37000,0.00180,0.36700,0.37400,0.01900,0.00000,1.00000,0.44000,0.00190,0.43600,0.44400,0.39600,0.00000,1.00000
botgra,Boat-tailed Grackle,Quiscalus major,Water/wetland,NA,0.36900,0.00920,0.35100,0.38700,0.35800,0.00000,0.00000,0.43800,0.00940,0.42000,0.45700,0.64600,1.00000,0.00000
brant,Brant,Branta bernicla,Water/wetland,NA,0.36600,0.01150,0.34400,0.38900,0.35400,0.00000,0.00000,0.43600,0.01150,0.41300,0.45800,0.01800,0.00000,1.00000
brdowl,Barred Owl,Strix varia,Forest,NA,0.37000,0.00100,0.36800,0.37200,0.71000,1.00000,0.00000,0.44000,0.00110,0.43800,0.44200,0.73100,1.00000,0.00000
brebla,Brewer's Blackbird,Euphagus cyanocephalus,Habitat Generalist,NA,0.37000,0.00120,0.36800,0.37200,0.33600,0.00000,1.00000,0.44000,0.00120,0.43800,0.44200,0.27600,0.00000,1.00000
brespa,Brewer's Sparrow,Spizella breweri,Aridlands,NA,0.37000,0.00110,0.36800,0.37200,0.20500,0.00000,1.00000,0.44000,0.00120,0.43800,0.44200,0.26200,0.00000,1.00000
britit,Bridled Titmouse,Baeolophus wollweberi,Forest,NA,0.37000,0.00820,0.35400,0.38600,0.45600,1.00000,0.00000,0.44000,0.00870,0.42300,0.45700,0.31000,0.00000,1.00000
brncre,Brown Creeper,Certhia americana,Forest,NA,0.37000,0.00070,0.36900,0.37100,0.54800,1.00000,0.00000,0.44000,0.00080,0.43800,0.44100,0.75100,1.00000,0.00000
brnowl,Barn Owl,Tyto alba,Habitat Generalist,NA,0.37000,0.00300,0.36400,0.37600,0.36100,0.00000,1.00000,0.44000,0.00290,0.43400,0.44600,0.19100,0.00000,1.00000
brnthr,Brown Thrasher,Toxostoma rufum,Forest,NA,0.37000,0.00070,0.36900,0.37100,0.54500,1.00000,0.00000,0.44000,0.00070,0.43900,0.44100,0.53700,1.00000,0.00000
brocow,Bronzed Cowbird,Molothrus aeneus,Aridlands,NA,0.37000,0.00660,0.35700,0.38300,0.26900,0.00000,1.00000,0.44000,0.00670,0.42700,0.45400,0.04700,0.00000,1.00000
