species,avg,stdev
abetow,0.37008035378414206,0.008821542514223504
acafly,0.37004370362578587,0.0013301808873154633
acowoo,0.36997922256773264,0.004447007746087136
aldfly,0.3699985684650315,0.0014190397721176933
allhum,0.36979324633445043,0.010560603228663217
ambduc,0.3700663267790333,0.008921258636461588
ameavo,0.36999425405218644,0.015211194411539597
amebit,0.37005528992863124,0.0016659036851752324
amecro,0.3700057706237803,0.0010858101313252102
amedip,0.36974272654764573,0.0037214040361335347
amegfi,0.3700033447966265,4.623923499400612e-4
amekes,0.3700238050049932,5.15306447200123e-4
amepip,0.3699907054046826,0.0010706621383267723
amered,0.37001915621974135,7.96382835948675e-4
amerob,0.3700907258406534,0.001611557238660031
amewig,0.36991365799908316,0.0040405003133684265
amewoo,0.3700638646750997,0.001057817516637646
amgplo,0.3699930539631368,0.004165288784765866
amtspa,0.36997948179366386,9.583810951952506e-4
amwpel,0.3698887090996616,0.005407247915190431
anhing,0.37002827746619943,0.0034300472445945485
annhum,0.36996408176485507,0.0030047759088782933
arcter,0.3806838644210935,0.20919538450508335
arcwar1,0,0
astfly,0.3700017789506915,0.001185456813820549
attwoo1,0.36999976516446986,0.002391737856498035
babwar,0.37009432432274364,0.001221921705174107
bacspa,0.3699595593431548,0.006595954454363181
baisan,0.37007535793105956,0.002022745818095611
baispa,0.3699199066879555,0.00299309172936716
baleag,0.3699516970037208,0.0013164949117726928
balori,0.3699727170537177,8.860032824631234e-4
banswa,0.36996814811721307,0.004259325587907406
bargol,0.369772147164458,0.006040029477368107
barswa,0.370133130784397,0.005567526358129581
batpig1,0.36988452414623885,0.0033165755920264188
bawwar,0.3700256547792334,9.104907815355729e-4
bcnher,0.3701220228780112,0.0028987332337285353
belkin1,0.3700142369109131,6.322020314232102e-4
belspa2,0.36995702714945733,0.004849986268247335
belvir,0.37007015238536545,0.0015375516705415833
benthr,0.3701087081823244,0.00544124018167968
bewwre,0.37004907213647836,0.0012150839151371245
